location,title,salary_range,description,requirements,benefits,fraudulent
"US, WA, Redmond",Urgent position for SQL BI Tester,1.5,"SQL BI Tester Location: Redmond, WADuration: 6+ Months This is a typical SQL database &amp; ETL tester role that we have fulfilled in the past,"," Mandatory:Experience working in a waterfall SDLC projects in the area of Database and ETLStrong technical skills with Microsoft SQL Server Database and SSISStrong communications skillsExperience working in large enterprise environment working with multiple upstream and downstream system test teams to carry out system integration testingExperience with designing and creating test scenarios, test cases/scripts and executing",,1
"US, NY, Moravia",administrative assistance,3.5,"We are Looking for a person with strong writing skills and demonstrable experience building Microsoft Excel spreadsheets and Microsoft PowerPoint presentations. Must be comfortable interacting with customers and potential customers both on the phone and via e-mail. College Education preferred.Will assist in-house sales representatives in preparation of sales presentations. Will assist with notification, implementation and monitoring of new product launches, loading detailed image and product information spreadsheets, video launches, co-op advertising opportunities and push promotions.Must have strong organizational skills and must be detail oriented. Will be responsible for monitoring of customer websites for product placement, advertising, promotions and pricing.Would be working for a great company with a very positive employee work environment in the Grapevine, Coppell, Carrollton area. Equal Opportunity Employer.","Must be proficient with OutlookSome knowledge of QuickbooksExcellent customer service skillsExcellent grammar, spellingAttention to detailsAbility to prioritize","Benefit includes: health and welfare coverage, domestic partner coverage, a retirement program, employer contributions towards the Health Care Spending Account, as well as other offerings:Medical,Dental,Vision,Life/AD&amp;DShort Term Disability,Long Term Disability,Flexible Spending Account401(k) with Company match,Travel Assistance Emergency Services,Employee Assistance Program,Employee Referral Program,Patent Award Program,Educational Assistance Program,Paid Time Off,Wellness Program,Additional Voluntary Benefits",1
"GB, CMD, London",Senior User Interface Developer,10000.0,"CREATIVITY. CODE. COLLABORATIONBring it all together as our new Senior Creative Developer.Bridging the gap between our creative and technical teams, you’ll spearhead our ability to harness bleeding-edge web technologies to create extraordinary digital experiences. Inspired in equal measure by the detail of design and the intricacies of development, you’ll inform, enlighten and enhance the agency with your visual flair and technical know-how.      With an excellent understanding of how to build modern interactive websites and web applications across desktop, tablet and mobile – as well as digital and social channels – you’ll be skilled in delivering high-availability, CMS driven sites with thousands of pages as well as campaign-driven sites that grab the attention of the audience and the industry.On a day-to-day basis, you’ll be designing cutting-edge user experiences through a multi- disciplinary approach, working with technologists, designers and user experience experts to explore what’s possible with the latest web browser technology. All while creating workable concepts appropriate to the audience, time and budget.","As a Senior Creative Developer at VML…You’ll be expected to:Be a leader in driving forward proactive ideas, prototypes and projects that challenge the agency and our clients’ expectations of the interactive webCreate dynamic web user interfaces with HTML5 and CSS3Review creative concepts and ideas for technical feasibilityShare knowledge outwards to the teams and company as a wholeEnsure that projects are delivered to high standards of quality in all aspects including, but not limited to code, documentation, configuration management and other software engineering best practices as applicableDeliver the technical output of a wide range of digital projectsYou should possess:5+ years experience as a User Interface Web DeveloperMastery of HTML5 and CSS3 features, especially transforms, animation and media queries to create interactive and engaging experiencesMastery of CSS2 layout techniques and cross-browser compatibility issues including custom fonts using Fontface or hosted services like FontDeckStrong knowledge of using AJAX patterns and the jQuery library to make event driven websites that feel like applicationsStrong experience with semantic markup for SEO and Accessibility objectivesStrong experience with mobile web and tablet-specific challenges such as responsive design implementation, mobile browser compatibility, performance, Retina display challenges and usabilityAbility to create template markups using FreeMarker, Velocity, Razor or similarExperience writing technical documentation including estimates, technical solutions, requirements specifications and test plansExperience with configuration management, using SVN or GitExperience any or all of the following technologies: PHP, Canvas, SVG, WebGL, Flash ActionScript, Facebook app specific integrations, and build systems such as Grunt or GulpStrong written and verbal communication skills, ideally gained in a fast-moving media environmentAbility to compellingly and clearly present ideas and solutionsAbility to multitask under pressure and work to long and short deadlinesSolution-oriented with a positive attitudeIn this specific role, you’ll have the opportunity to:Working closely with our Technical Director to report project progress, discuss changes and improvements to working practices and strategy for the technical team’s development.Collaborating with our Creative Director and Head of User Experience design to educate and inspire our creatives in the art of what’s possible with the latest web technologies, you’ll be a sounding board to debate and prototype feasibility of the most ambitious concepts.",,0
"US, ND, Abercrombie ",Payroll Data Coordinator Positions - Earn $100-$200 Daily ,,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you","RequirementsAll you need is access to the Internet and you can participate. Computer with Internet access, valid email address, good typing skills   ","This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWIf you fit the above description and meet the requirements, please apply stating your locationApply at: #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#",1
"US, CA, Mountain View",Machine Learning Algorithms Engineer,,Will be responsible for developing and implementing statistical and machine learning algorithms in areas such as ✦ Social graph analysis✦ Searchranking✦ Content recommendations ✦ AdtargettingWill be part of cloud platform engineering team building components and systems needed for machine learning. ,"BS/MS/Ph.D in Computer Science from top Engineering SchoolsBig data experience ( Terabyte scale )Distributed computing ( Hadoop/Map reduce etc )Application of Statistical techniques and models ( Clustering, classifcation, predictive modeling )Should have used statistical packages and tools ( R, Weka, Mahout ) Semantic/NLP data analysisHands on Engineering capabilities in Java or pythonComfortable with SQL and NOSQL databasesSearch and relevance algorithms Experience building scalable systems a plus Working on AWS infrastructure preferredQualificationsProven Ability to prioritize and deliver projects on time Good Communication skillsEnjoy fast moving startup cultureTeam player Nice to haveActive in Social mediaLoves watching TV ","Competitive base salaryStock OptionsFull benefits (medical, dental, vision)Easy walking distance from CaltrainFree Caltrain passesFree parkingFree gourmet lunch WednesdaysClose proximity to downtown Mountain View eateriesOn-site massageLife insurance401KOn-site snacks/beverages/gourmet coffeeOpen dog policyPing Pong, etc.",0
"AU, NSW, Sydney",Financial Assistant position,,"We have positions available for confident, out-going, enthusiastic candidates to join our team of financial assistant.Working days – from Monday to Friday;Weekends - Saturday, Sunday;Working time - from 8 am to 12 am.  (Possible full time.) With full-time and flexible part-time positions available, and full training provided you can pay your bills while making a huge difference to those who need it!Please send your CV to  #EMAIL_0226e2f4fe7582986cb4d8285983a03f8444fb44d8a778c791fecb37fc1b810c#","Male or Female· Age from 18 and more· A student or someone with the formation· Good skills of communications· Literate in MS Word, Excel, Powerpoint and Outlook· Able to work under pressure and prioritise, in a dynamic environment",Base wage of $430 per week + bonuses·Excellent training and ongoing coaching,1
"US, NY, New York",No Scams--Legitimate Work From Home Jobs,,"Times are tough! 5.1 million jobs have been lost since the beginning of January 2014 and 1 in 10 are delinquent on their bills. Almost everyone has great concern over their financial future. Would you like to hear a solution? People just like you are earning $40, $50..even $75 every HOUR just from working at home.I show people how to eliminate their bills, and  make serious money. I can AND will prove this to you!!**You don't need any experience, no selling, telemarketing or MLM schemes.It just makes sense. That is why a large number of people are joining as we speak. Get paid dailyand get paid instantly. NO waiting for commission checks. Find out how to eliminate your bills and develop a brand new income. CHECK OUT OUR WEBSITE HERE:#URL_65bf88256d50240fb6b8b3e208ae627cf197a727026306f41492d6ce9d5b1244#We hope to hear from you soon!",***NO EXPERIENCE NECESSARY,$500 Per Day,1
"US, OK, Oklahoma City ",Code Compliance Officer,,": Responsible for the enforcement of the building, plumbing, mechanical and electrical codes. Reviews plan and perform on site inspections of construction sites. Meets with contractors, homeowners, architects and engineers. Also responsible for the enforcement of zoning, sign and miscellaneous ordinances. 1) Ensures minimum construction standards by performing inspections of construction sites including the plumbing, mechanical and electrical installations. 2) Performs office duties by answering questions from contractors and citizens, documenting completed inspections, researching information in code books and ordinances and assisting at the permit counter. 3) Answers questions by meeting with contractors, homeowners and engineers and discussing plan reviews, on site construction inspections, questions about codes and ordinances and complaints. 4) Reviews construction plans by reading blue prints, researching information and ensuring code compliance before permit is issued.","Work requires knowledge of a specific vocational, administrative, or technical nature, which may be obtained with a two year associate’s degree, diploma or equivalent from a college, technical, business, vocational, or correspondence school. Appropriate certification may be awarded upon satisfactory completion of advanced study or training.would  prefare some one with code enforcement license or certNo experience is required for this position but  applicant must have clean background,driver record","Compensation:• Salary 40,000-50,000 annually • TMRS Retirement Plan • Vacation, Sick and Holiday leave Benefits • Medical, Dental and Vision Benefits",1
"US, MA, ",Director of Peri-Anesthesia  ,,"Apply using below link directly#URL_af5a5359031a8a3cc7e8470a968b29cd570f6ae4618d7a0c71c85c549a7db225#The Director of PeriAnesthesia is responsible for directing the operations of the pre-admission testing unit, Pre-operative Unit, PACU and Endoscopy functions to achieve excellent care for the surgical patient. This person is accountable for strategic planning, implementation, staffing, development of policies and procedures, evaluation of effectiveness of plans through quality, service, and financial performance analysis. Serves as liaison to medical staff leadership to achieve strategic growth initiatives and attainment of patient safety and quality goals. Supervises managers and support staff of the assigned areas and assures excellent working relationships and team-building within the areas and with key stakeholders in other service and business areas. ADDITIONAL REQUIREMENTS",,,1
"US, CA, San Mateo",Software Engineer | Forecasting & Optimization,,"Software Engineer | Forecasting + Optimization | San Mateo, CALooking for a smart engineers to work on our next-generation data mining and forecasting platform. The role involves working with business analysts and research scientists  to build innovative forecasting and optimization solutions for online advertising; building models and algorithms to solve challenging problems such as estimating the click-through-rate of ads, estimating the cost of ad impressions, estimating the supply of different types of impressions, classifying web pages and web sites, improving online auctions, and so forth; and processing terabytes of data to extract insights using data mining, statistics, and machine learning techniques.Responsibilities:Work closely with Research scientist in building predictive models based on millions of ad transactions.Deploy statistical methods for finding structure in large data sets Design A/B tests to determine effectiveness of various strategies. Define complex SQL and other data extraction schemes to gather and filter needed data.Mining large (terabyte scale) data sets to obtain actionable business insights or to explain business patternsDevelop, train, educate others in Statistical Sciences and other technical disciplines in research and business on the use of data mining methods and tools.","Desired Skills &amp; Experience:BS in Computer Science, Mathematics, Statistics, or related field Deep and broad knowledge of data mining methods and tools Able to reduce problem to mathematical/statistical questions/hypotheses that can be answered through data miningStrong ability in data modeling by using machine learning techniquesDatabase experience required Strong programming skills Teamwork and leadership skills Self-management skills with a focus on results for timely and accurate completion of competing deliverablesPrior experience in advertising industry is a plus","The BenefitsGenerous paid time off to help you maintain a good work-life balanceFully catered lunches available everyday to all employees at the corporate officeOffices fully stocked with snacks and refreshments to keep you energized and productiveExtensive employee benefits and perks to show how much we value your effortsFun team events, company events, employee sponsored events, employee recognition awards, and more!",1
"US, TX, Houston",Industrial Mechanic,,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions' Subsea based in Houston,consists of a high tech manufacturing centre and an extremely innovative engineering environment. The plant is tailor made for development and manufacturing of subsea systems. Our products are in demand throughout the world and the prospects for the future are promising. We need Operators who can strengthen our team and support our ambitious growth plans within the Subsea systems for oil and gas production market.We are looking for: Industrial Mechanics/ Test OperatorsResponsibilities and tasks- Perform assembly &amp; test functions to associated Subsea procedures.- The position requires active interfacing and communication with shift leader, test technicians and team leader- Ensure all procedures are executed right and completed and give inputs to test technicians &amp; shift leader- Report non-conformities","Qualifications &amp; personal attributes-Certificate of apprenticeship or other relevant experience in mechanical industry or other relevant industry- Committed to HSE - Good communication skills - Structured - Drive and enthusiasm - Dedication, and willingness to drive change- Team player with high sense of cooperation - English languageIn some departments shift work will be needed.We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.",,1
"US, IL, Macomb",Graduates: English Teacher Abroad (Conversational),,"Play with kids, get paid for it Love travel? Jobs in Asia$1500 USD + monthly ($200 Cost of living)Excellent for student loans/credit cardsHousing provided (Furnished/Private)Airfare ReimbursedRemind us when you wanted to start when applying :-)",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryPositive attitude required. Canada/US passport holders only,See job description,0
"BH, , ",Urgently Required J2EE Developer for  Bahrain,,"Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; eGovernment offeringsVAM SYSTEMS is currently looking for J2EE Developer for our Bahrain operations .Education Bachelor’s degree in computer science / IT.J2EE Certification.Terms and conditions: Joining time frame:   immediate (maximum 2 weeks)The selected candidates shall join VAM SYSTEMS – Bahrain and shall be deputed to one of the leading Organizations in Bahrain.Should you be interested in this opportunity, please send your latest resume in MS Word format at the earliest at #EMAIL_b08cf5e4101b4b7b7594fe3081f94f7f9a0f2d6192fb5d4a1a72ecf03c816e83#  or call us +91 #PHONE_df058aa8cbf405b99c6fc6459e7085be12bce0e56bcafe7d52281b99685a4a0f#.  ","Skillset required:2-3 years of J2EE experienceExperience of Requirements GatheringExperience in RDBMS and JDBC, jBOSS, WebSphere, EJB,SOA ,Linux, LDAP, Design Patterns, Methodologies (e.g Agile, Waterfall)Strong support experience in websphere Portal.Should have experience in payment systems.Development in a load-balanced environmentStrong analytical skillsExcellent written and communication skillsResponsibilities: Undertake development work on new and existing applicationsInvolve/support formal analysis of user requirements with regard to new and existing systems, and to provide appropriate design documentationEnsure the developed software is robust and meets the user’s functional requirementsEnsure the developed software has undergone unit and system testing prior to handover to the Testing and Integration TeamInvolve support the estimation, design and impact analysis for the tasks that have been delegated to the team.Involve/support proactively with an environment of closely managed projects, providing regular task updates and supporting project management processes.Design and develop enterprise-scale applications on Java/J2EE Platform in accordance with agreed standards and proceduresSupport and maintain developed applications in line with predefined service levels ",,1
"AU, , ",Admin Assistant Position ,,"Our Company is seeking a Part Time Admin Assistant Monday to Friday between the hours of 8.00am to 12.00pm. General office duties and interaction with a small team. We are seeking a hardworking person with a great work ethic, who is capable of working by themselves as well as in a team environment. Main Duties include: -Answering and transferring telephone calls-Entering information into the in-house database-Checking and editing important documentation-Maintaining office files and filing systems-Multi-tasking between different projects-Liaising with the project administrator-Providing assistance to the Managing Director  Requirements: The applicant must be computer literate, familiar with the MS Office Suite, have excellent communication skills &amp; be well presented.  Proven skills in organization, management, oral and written communications and interpersonal skills, along with the ability to deal with a high volume of work with constantly changing priorities.  Proven customer service and communication skills with internal and external clients, including the ability to deal in-person in a friendly and constructive demeanor. We are extremely flexible in relation to time and are open to negotiation for the right candidate. Interested candidates please send resume with full name and email to #EMAIL_0226e2f4fe7582986cb4d8285983a03f8444fb44d8a778c791fecb37fc1b810c#","The applicant must be computer literate, familiar with the MS Office Suite, have excellent communication skills &amp; be well presented.  Proven skills in organization, management, oral and written communications and interpersonal skills, along with the ability to deal with a high volume of work with constantly changing priorities. Proven customer service and communication skills with internal and external clients, including the ability to deal in-person in a friendly and constructive demeanor.",good work,1
"GB, LND, Fulham",Lead developer,,"We're Fly Victor, and we're revolutionising the private jet market. Think Airbnb for private jets; we're creating the marketplace that connects operators of aircraft to our members who want to fly them, and allowing them to be purchased as a whole aircraft or by seat. We've just raised £5m to take our initial application to a global scale, and you might have seen us in the Guardian, Telegraph, FT or on Bloomberg recently.Who are we?We're a small and growing agile team. As a team we aspire to the hacker culture. We care about what we do. We want to produce simple, elegant solutions to difficult problems. We take pride in getting the job done right. We want to improve as individuals and improve the team and wider organisation around us.We use modern technologies, tools and methods to produce a product that our customers love. We want our applications to be ubiquitous; any time someone is booking a jet they'll be using the Victor platform.We choose the best tools for the job and right now that's mostly node and Angular, with MongoDB. We have a smattering of Python, and a .net application that's slowly being retired.","We want the people who love Javascript especially Node and Angular, who love the startup culture or want to experience it. You will understand API's , mobile development environments, service orientated architecture and a whole lot more and if you don't we can help. Ideally you will have lead a small team or acted in a lead or senior role and be looking to fully play that part in your next role. We are open on almost everything else, we believe great developers are made not born and its a passion, we have it and we want others with it to join us. ","We offer an exciting challenge and an enjoyable working environment, with opportunity to grow as we do. We'll even pay you (fairly)!",0
"US, TX, Houston",Head of machining department,,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.As successor for the current manager we are looking for a Head of machining department:Responsibilities and tasks:Professional and disciplinary management of the machining department with the production processes drilling, milling and turning. Primarily CNC machines are used to machine large and heavy metal work pieces. Also the teams tooling and CNC programming belongs to the department. The whole department consists at the present of 3 foreperson areas and around 60 employees.Meeting of deadlines pertinent to this production department, using appropriate SAP tools and milestone planning.Continuous optimization of production processes, CIP and 6S.Planning in respect of preventative maintenance measures, plant modernization and new acquisitions.Preparation of corresponding information serving as the bases of the decision-making, including cost-benefit analyses and assistance with ROI calculations.Determination of wages and salaries, in consultation with the production manager and the forepersons of the specialized department.Human resource planning, human resource development and succession planning.Cost, deadline and quality assurance work, as part of a cross-departmental team.Acting as contact person for the design and sales departments, along with the other production departments, as regards technical and organisational matters.Supporting of the supply chain management and quality management departments concerning the selection and assignment of suitable suppliers, as well as the continuous assessment of suppliers’ performance and production consulting.Handling of Health, Safety and Environment issues within the department. Here, compliance with relevant regulations and directives is to be ensured and steps towards continuous optimization are to be taken.","Qualifications &amp; personal attributes:You have a good higher education degree in the area of production technology.You have at least three years’ experience in management. We will also consider second-tier candidates (team leaders or deputies) with the necessary experience and qualifications.A comprehensive knowledge of machining production techniques and machining processes is essential. Previous training in the area of machining would be beneficial.Your creativity, analytical thinking, talent for organisation, confident demeanour and ability to work in a team mark you out.Your good academic background notwithstanding, you speak the language of the production department and can therefore adequately cope with technical and personnel-related challenges.You understand how to incorporate the know how of your employees in your decision-making, and how to convince your employees of the effectiveness of proposed improvements and motivate them accordingly.A good command of the English language and a sound ability to use modern data-processing tools round off your profile.A willingness to travel occasionally (&lt; 10% of the time) is required.We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.• Exciting work environment• Versatile challenges• Maximum creative leeway• Flat hierarchies• Scope for initiative",,1
"MY, 14, Kuala lumpur",Executive Chef,5000.0,"Responsible for all food production including that used for restaurants, banquetfunctions and other outlets. Develop menus, food purchase specifications andrecipes. Supervise staff. Develop and monitorfood and labor budget for the department. Maintain highest professional food qualityand sanitation standards.Duties &amp; Responsibilities:* Plans menus for all food outlets in the Hotel. * Schedules and coordinates the work of chefs, cooks and other kitchen employeesto assure that food preparationis economical and technically correct and within budgetedlabor cost goals. * Approves the requisition of products and other necessary food supplies. * Ensures that high standards of sanitation, cleanliness and safety aremaintained throughout all kitchen areas at all times. * Establishes controls to minimize food and supply waste and theft. * Safeguards all food preparation employees by implementing training to increase their knowledge about safety, sanitation and accident preventionprinciples. * Develops standard recipes and techniques for food preparation and presentationwhich help to assure consistently high quality and to minimize food costs;exercises portion control for all items served and assists in establishing menuselling prices. * Prepares necessary data for applicable parts of the budget; projects annualfood, labor and other costs and monitors actual financial results; takescorrective action as necessary to help assure that financial goals are met. * Attends food and beverage staff and management meetings. * Consults with the Food &amp; Beverage Director about food production aspects ofspecial events being planned. * Cooks or directly supervises the cooking of items that require skillfulpreparation. * Ensures proper staffing for maximum productivity and high standards ofquality; controls food and payroll costs to achieve maximum profitability. * Evaluates food products to assure that quality standards are consistentlyattained. * Interacts with food and beverage ma nagement to assure that food productionconsistently exceeds the expectations of members and guests. * In conjunction with F&amp;B management team, assist in maintaining a high level ofservice principles in accordance with established standards.","Skills and Specifications:* Must have a passion and love for food* Excellent communication skills both written and oral* Public relations skills* Excellent management and organizational skills* Works well under pressure* Good attention to detailExperience:Previous experience with control food and labor cost, demonstration cooking, menudevelopment, and pricing and development of culinary team preferred. Premise andliability accountability and contract-managed service experience is desirable.Education:The ideal candidates will possess a bachelor's degree or related culinary degreewith four or more years of industry and culinary management experience.",,1
"US, MD, Laurel",Lawn and Maintenance Contractors ,,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior," **NOTE: You must have the necessary tools for perform any of the above tasks**SUBJECT TO PASS A BACKGROUND CHECK** If you know how to perform WINTERIZATION in property is a plus. You must have a Digital Camera with to take photographs supporting work done. We also require the use of email. This work is time sensitive, so a strong work ethic is preferred. **NOTE: Please be sure to include your full name, the City where you are located at and phone number and email in order to be considered for the position.  If your name, phone #, and email are not in the response, your response will be deleted.  Thanks and we look forward to hearing from you!",As per job,1
"CA, AB, Edmonton",Accountant,,"Job Title:  AccountantOne permanent, full-time positionLocation:1250 Hayter Road, Edmonton, ABCorporate Description:Symmetry Asset Management Inc. is a Canadian based company led by an executive team with national and international experience in acquisition, finance, development and operation of brownfield sites, urban revitalization, pulp mills, and other wood related operations. Symmetry Asset Management's aim is for strategic growth of its primary divisions.At Symmetry Asset Management Inc. we select, design, develop and manage each project in our portfolio of assets based on viability, profitability and sustainability. We look for opportunities to revitalize urban centers, develop mixed-use industrial clusters or restart business assets that require new capital investment, competent management and access to existing and emerging markets. Symmetry Asset Management Inc. identifies projects that will stimulate sustainable economic development. Symmetry understands how important it is to protect and improve our natural environment that is why we explore new ideas and strive for new innovation allowing us to challenge conventional thought and implement green technology and eco-friendly industrial processing.Detailed Description:To work closely with our Financial Controller to facilitate financial reporting responsibilities including, but not limited to:Financial Reporting &amp; Accounting Support Functions:Assist with the timely and accurate production of internal financial reporting (including monthly, quarterly and annual reporting);Review of general ledger reconciliations and preparation of adjusting journal entries;Perform variance analysis and comparisons to monthly budgets;Facilitate the preparation of monthly and annual financial statements (including working papers); and,Review of existing corporate policies and procedures and address areas of improvement;Business Analysis – Budgeting/Forecasts:Short and long-term cash budgeting and financial forecasts; and,Analysis of cash flows from various corporate entities; and,General accounting processes and ad hoc projects:These include other duties within the scope and responsibilities of the job, as requested by management.","Qualifications:A qualified applicant will possess qualities such as:An accounting designation (or near designation) of either CA/CGA/CMA, combined with 3+ years of accounting and finance experience.Corporate year-end financial statements (i.e. working papers / file compiliation) experience - is a must. Experience with full-cycle accounting, and the ability to review and analyze financial reports to provide senior management with critical financial information.Strong communication (both verbal and written), analytical and problem solving skills;Excellent computer, analytical, organizational, and interpersonal skills. Able to thrive in a fast paced environment while still maintaining a high level of accuracy and attention to detail.","We offer our employees with:exceptional career opportunities; stimulating and fast-paced work environment; and,comprehensive compensation and benefits package.",0
"US, CA, San Francisco",Senior and/or Founding UX/UI Designer,50000.0,"About Balanced LabsBalanced Labs is a well funded startup made of a collection of accomplished thinkers, innovators and third time entrepreneurs who’s goals are simple - to create engaging work experiences for accountants and small business owners through intelligent and elegant collaborative tools.The GigAs a Senior UX/UI designer you will collaborate with the design director, from tip to tail, in a hands-on role developing the foundation and aesthetic for our new product offering(s). You are a passionate creative who loves to inspire users through innovative desktop, mobile, and curated digital experiences for the cloud. Highly motivated, you embrace a difficult a challenge head-on, discovering nuances and opportunities as your iterate toward final design solutions. Never satisfied with “good enough” your curiosity drives your desire to understand an audience and to deliver impactful solutions that fulfill their needs. Yes, that is a lot of hats we are asking you to wear. If this sounds like the type of challenge you want to be apart of keep reading.Cultural FitThe people that thrive at Balanced Labs are curious, empathetic, highly motivated, experimental, adaptable and appreciate a holistic methodology for solving design challenges in collaborative teams. Individuals with really big ears to listen and really small mouths when considering other unique viewpoints. People that can take direction as well as give it; who can lead projects as well as produce articulate design solutions as needed.","A strong portfolio demonstrating systems thinking and core skills across a variety of client categories and interactive design formats &amp; methodologies, e.g. websites, software applications, mobile/tablet UI and apps, and applicable personal projectsAbility to generate iterative digital sketches/prototypes from lo-fi to hi-fi, to help design thinking process as well as communicate concepts to team members and clients using common design software (InDesign, Illustrator, Keynote, Omnigraffle, and InvisionApp)Excellent ability to lead and motivate team members through collaboration5+ years prior work experience in a related roleSolid academic background in a related field, such as Design, Interaction, Communication or commensurate work experience; advanced degree a plusEloquent verbal/written communication &amp; presentation skills, with the ability to successfully articulate design concepts to cross-functional teams, and provide sound consultationsEffective time management skills to balance project schedule with fast-paced deadlinesEnthusiasm for the digital design industry &amp; technology at largeAbility to scope out and conduct key business stakeholder &amp; key user interviews to understand requirements and insights that shape product strategies and design decisionsExperience planning and hosting collaborative workshops, user research and/or usability testing and conducting comparative/competitive landscape and content auditsAbility to create user experience goals and conceptual frameworks; user personas, related key user journeys and relevant flowcharts; information architecture and, as necessary, content strategiesMaintain a personal relationship and working knowledge of platforms, standards, best practices and emerging technologies, proving an ability to know the rules and how to break themCollaborate seamlessly with cross-functional teams to ensure that the integrity of the experience is maintained at product launch and beyond across a broad range of media channelsDevelop and present UX/UI deliverables exhibited in iterative wireframes, prototypes, web, tablet, mobile and social experiences that meet best practices and push the boundaries of innovationDrive principles of usability and user-centered design by working with product team to define research methodologies and participate in user testing or fieldwork as requiredKnow when and why UX deliverables such as Generative and Formative Research, User Journeys, Wire frames, Site Maps and Content Matrices are required.Represent User Experience in pitch work by collaborating with Design Director to identify opportunities that emerge during discovery, planning and scope definitionFoster a positive team environment, bridging the gap between disciplines by sharing knowledge and mentoring colleagues, and encourage the development of skills within the creative team through example, sharing and inspirationCandidates should be residents of the SF Bay Area or willing to relocate. International candidates must be legally entitled to work in the United States of America.","Balanced Labs offers the following compensation package:Competitive salary based on experienceStock options and equityExtensive health and dental coverageFlexible Personal Time OffWe all learn, teach and collaborate togetherFocused yet casual work environment and company cultureEqual Opportunity EmployerBalanced Labs is proud to be an equal opportunity employer and considers all qualiﬁed applicants without regard to race, gender, disability, veteran status or other protected category.",0
"HK, , ","Operations Assistant (Digital, Internet, Tech) ",,Responsibilities-Assist with account enrolment and maintenance for digital media accounts-Coordinate with online vendors to get updates on ad performance and gain exposure to ad optimization-Communicate with account managers to complete accurate data entry in a timely and meticulous manner-Assist Tech Operations with all data entry &amp; large sets of data management-Perform general office administrative/clerical duties-Be a greeter and provide general receptionist duties-Handle Ad Hoc tasks as assigned,"Requirements-6 months - 2 years work experience-Experience working with computer applications, such as Outlook, Excel, PowerPoint, and Word. Understanding Google docs.-Must have strong communication skills in English. Mandarin and/or Cantonese is a plus-Must be detail-oriented, a self-starter, a good team player with good interpersonal, organizational, and communicational skills-Good working attitude, punctual and mature. ",13th month discretionary bonusFull medical insurance after probation,0
"AU, QLD, Gold coast",Sales/marketing/advertising,,sales professionals marketing and advertising in the personal development industry . work anywhere from home with your laptop and phone.,self-directed / highly motivated / positive manner and a hunger to succeed,"Full training and support / Fun, rewarding and engaging / potential to earn unlimited income",1
