title,labels
" California Rep Gets The Ball Rolling, Files First Article Of Impeachment Against Trump",fake
 Bannon Takes His ‘Weapons’ At Breitbart; Smears ‘Quran Kissing’ McMaster In Scathing Hit Piece,fake
 All Hell Breaks Loose At First Charlottesville City Council Meeting Since Nazi Rally,fake
Court orders Trump administration to give immigrant teens abortion access,real
"Republicans unveil tax cut bill, but the hard work awaits",real
"Billy Bush: It was Trump's voice on ""Access Hollywood"" tape",real
Doubts linger after Florida's Scott pitches biggest budget,real
"Instant View: Senate plan delays corporate tax cut, won't repeal Obamacare mandate",real
 Donald Trump Is Acting Just Like Kim Jong: Threatens NK With Nuclear War,fake
 Despicable Trump Suggests Female Senator Would ‘Do Anything’ With Him For Campaign Money (TWEET),fake
" Trump’s Salary Donation Is Just Bullsh*t PR, And Here’s Why",fake
 Anti-Abortion Republican Just Aborted Himself From Office,fake
Texas congressman will not seek re-election in wake of nude photo,real
 Spicer Quickly Orders Press Briefing To Be OFF Camera After Trump’s Indefensible Morning Meltdown,fake
" Just Back From A Golfing Vacay, Trump Says He’s Done More Than Any President Ever",fake
 ‘We Know Where You Live’: Trump-Loving Terrorist Threatens All Who Attack ‘The White Race’ (VIDEO),fake
" Republicans Respond To Trump’s Threats, Presidency In Freefall (DETAILS)",fake
 Nazis Whine Over Impending Release Of An Anti-Nazi Video Game (VIDEO/TWEETS),fake
Congressman Conyers has not thought about resigning: lawyer,real
" WATCH: CNN Majorly F*cks Up, Has White Supremacist Weigh In On DACA Panel",fake
 WATCH: Republican Lawmaker Claims Forcing Women To Have Babies Will Help The Economy,fake
"Senator Franken, on groping allegations, vows 'this will not happen again'",real
 Red Cross Raises Tens Of Millions And You Won’t Believe What They’re Feeding Hurricane Victims,fake
U.S. lawmaker says House intel panel near consensus on NSA spy program,real
House bill aims to identify lawmakers in sex harassment cases,real
" Leaked G20 Video Appears To Show Trump Rubbing Putin’s Back At First Meeting, World Gags (VIDEO)",fake
 #BringBackObama Hashtag Blows Up On Twitter As Americans Share Memories (TWEETS),fake
 Multiple Witnesses Confirm: The Pee Pee Tapes Are Real,fake
" Kushner: I Lied About Four Russian Contacts, But No Worries, I Didn’t Collude",fake
 WATCH: Republican Who Voted To Impeach Clinton Admits Trump Has Done Much Worse,fake
 RNC Official Retweets Article Calling For Sen. John McCain to ‘F*cking Die Already’,fake
"White House eyeing El-Erian, others for Fed vice chair: CNBC, citing Dow Jones",real
 Trump Jr. Was Told Before Meeting That Putin Wanted To Help His Daddy Win,fake
" Scaramucci’s New Yorker Interview Is More Than Just Gross, It May Be A Felony",fake
"Trump lifts refugee ban, but admissions still plummet, data shows",real
 Trump: Everything You Heard Me Say On The Access Hollywood Tape Never Happened,fake
" Kid Rock Just Had His First Political Rally, And It Was Worse Than You’d Imagine (VIDEO)",fake
New York Attorney General investigating false 'net neutrality' comments to FCC,real
Exclusive: Congressional committee questions operation of WHO cancer agency,real
 Melania Trump Hit With SERIOUS Side-Eye After Telling Black Kids To Respect Each Other,fake
 WATCH: Rep. Steve King Stuns House Floor In Most Ignorant Anti-Trans Rant You’ve Ever Seen,fake
 Leaked Secret Government Report Shows Massive Impact Of Climate Change On The United States,fake
" After Pulling NFL-Related Ads, Papa John’s Gets An Unlikely Sponsor Of Their Own: Nazis",fake
 Trump’s America: White Supremacist Blogger Given Job As Federal Judge,fake
 Trump’s HHS Secretary Stole Over $1 Million From Taxpayers And Now He’s Unemployed,fake
U.S. Congress to seek new tax incentives for Puerto Rico rebuilding,real
U.S. senators seek details on 'dubious' oversight shift by Japanese bank,real
" Trump’s Latest Twitter Outburst Is A Violent, Fake-Wrestling Clip Attacking CNN",fake
" Paul Ryan Sharpens His Backstabbing Knife, Prepares War With White House (VIDEO)",fake
U.S. House Speaker Ryan says up to Conyers whether to resign,real
"In victory for Trump, judge tosses suit on foreign payments",real
Democrat Ralph Northam wins Virginia governor's race: media,real
" The World To Trump: F*ck Off, You Did Not ‘Inherit A Mess’ From Obama (VIDEO)",fake
 Twitter Has Absolute Field Day Laughing At Trump For Blinding Himself During Eclipse,fake
 Trump Just Made A Hugely Inappropriate Threat Over Trumpcare While Speaking To Boy Scouts (VIDEO),fake
" Town Defends Official After Wife’s ‘N*gger’ Rant On FB, Says People Who Shared Post ‘Just As Bad’",fake
Deficit worries complicate path for Republican tax cuts,real
 Trump’s Pick For Head Of DOJ Criminal Division Represented Russian Banks With Putin Ties,fake
Trump lawyer denies Deutsche Bank got subpoena on Trump accounts,real
 New Dramatic Poll Shows Just How Much Trump Has Humiliated Americans (DETAILS),fake
U.S. Congress members decry 'ethnic cleansing' in Myanmar; Suu Kyi doubts allegations,real
Factbox: Trump on Twitter (Nov 27) - Networks,real
Alabama Senate race winner urges Republican rival to 'move on',real
"Democrats, advocacy groups launch blitz of ads attacking tax plan",real
 Women Reporters Are Being Turned Away From Covering Congress; Here’s Why,fake
 Trump Is Trying To Make It Illegal For Groups Of People He’s Screwed To Sue Him,fake
U.S. House panel says agreement reached over Fusion GPS bank records,real
"Russia, commenting on Manafort charges, says U.S. should further investigate Ukrainian links: RIA",real
Judge tells ex-Trump adviser Manafort to stop communicating with media,real
 The Resistance Just Gave Trump A Huge F**CK YOU On Election Night,fake
Trump calls for boycott of television network CNN: tweet,real
 Trump EXPLODES In Twitter Tantrum That Proves He’s Mentally Unfit To Be President,fake
Factbox: What is the U.S. Consumer Financial Protection Bureau?,real
 How Sh*tty Of A Birthday Must Ivanka Trump Be Having?,fake
" Chuck Todd Goes Off On Trump, Says What Every American Is Thinking Right Now (VIDEO)",fake
" Republicans Are Trying To Destroy The Senate As We Know It, Taking Away Your Vote — Here’s How",fake
 Black Man Beaten By Nazis At Pro-Trump Rally So Naturally Cops Charged HIM With A Crime,fake
 This Is What Fox News Considered ‘News’ As Everyone Else Covered Indictment Of Trump Camp Manager,fake
 Conway Declares It ‘Unpatriotic’ To Question Trump’s Mental Health After His Latest Meltdown (VIDEO),fake
Ex-Twitter worker claims responsibility for Trump's account shutdown,real
Kentucky clerk opposed to gay marriage to run for 2018 re-election,real
Republican tax bill would add $1.7 trillion to deficit: CBO,real
Trump says unsure if Tillerson will remain secretary of state,real
Trump urges Moore to concede Alabama Senate race,real
"In meeting, Trump to push a reluctant Xi to rein in North Korea",real
How McConnell kept Republicans in line to win Senate tax bill,real
" Trump’s Making It Harder To Sign Up For Obamacare On Purpose, Even If The GOP Doesn’t Pass Anything",fake
 Trump Jr.’s Accomplice That Set Up Russian Meeting Checked In For It On Facebook (TWEETS),fake
House Intelligence chairman cleared of disclosing classified information,real
Trump attends civil rights museum opening; black leaders stay away,real
 California Single-Payer Health Care Bill Shelved And People Aren’t Happy,fake
 Snowflake Trump Makes His Staff Create A Daily Newsletter,fake
" Even Back In 1993, Donald Trump Was Getting Shut Down With His Nazi Bullsh*t",fake
Women accusing Trump of sexual misconduct seek congressional probe,real
 WATCH: Mitch McConnell Gets His A** Handed To Him For Whining On The Senate Floor Because Democrats Don’t Support Trumpcare,fake
 Marco Rubio Calls Out Trump For His Refusal To Acknowledge The Heinous White Supremacist Violence,fake
 Trump Demands Mitch McConnell ‘Get Back to Work’ While Vacationing From Vacation,fake
 WATCH: Internet Hilariously Mocks Trump For Not Killing His Own Flies Like President Obama,fake
Trump nominates Marvin Goodfriend for Fed governor post,real
"Republicans forge tax deal, final votes seen next week",real
Moscow has never supported complete embargo on North Korea: RIA cites deputy FM,real
Trump administration sides against unions in high court fees case,real
 White Supremacist Marine Kicked Out Of The Corps After Being Busted Doing Nazi Stuff,fake
" After Whining About NFL ‘Disrespect,’ Trump Laughs And Jokes During Military Ceremony",fake
Trump on Twitter (Dec 20) - Tax Bill,real
JPMorgan's Dimon says Trump likely to be a one-term president,real
Democrats ride grassroots wave to major statehouse gains,real
 Ivanka Trump Made Up Fake News About Albert Einstein And The Internet Will Never Let Her Live It Down (TWEETS),fake
Companies have up to a year for new U.S. tax bill reporting: SEC,real
U.S. Senate candidate Moore's wife says 'he will not step down',real
 Pathetic: Trump Actually Needs A General To Babysit Him Constantly,fake
"Lower taxes, big gains: The stocks poised to win from tax cuts",real
Crucial details of Republican tax plan in flux as deal deadline looms,real
Justice Department says White House may name new consumer watchdog,real
Special Counsel Mueller produces evidence that Manafort drafted op-ed,real
 Trump’s DC Hotel Raised Price And Made Millions In Months Off His Presidency,fake
 Leaked Email Proves Trump Officials Aware Russia Had ‘Thrown The USA Election’ To Trump,fake
"Ryan feels good about spending bill, wants budget cap talks",real
"After Alabama upset, Democrats see new prospects in U.S. South",real
 Georgia Republican Threatens To ‘Disappear’ Democrat Over Monuments To Slavery,fake
Goldman's Blankfein: If Trump taps Powell as Fed chair wouldn't be 'one bit disappointed',real
 Trump Started A War With McConnell And The Oldest GOP Senator Is Coming For Him Guns Blazing,fake
 NRA Terrorist Organization Remains Silent After Worst Mass Shooting In American History,fake
 Former CIA Chief Blasts Trump’s Speech To Boy Scouts: ‘Like Watching A Dictator’,fake
 Trump’s Lawyers Say Encouraging Reasonable Force Against Protestors Is 1st Amendment Right,fake
 Alabama Republican Just Defended Pedophilia Using The Bible,fake
 WATCH: Bill Maher Hilariously Explains Why Trump Ditched McConnell And Ryan For Chuck And Nancy,fake
 CNN Host Abruptly Ends Segment After Fox Sports Guest Makes DISGUSTING Trump-like Comment (VIDEO),fake
 Donald Trump Was Looking To Build A Trump Tower In Moscow While He Was Running For President,fake
Congress should weigh U.S. regulation of gun 'bump stocks': Republican Senator,real
Trump says not considering firing U.S. special counsel Mueller,real
 Trump Brags About Gas Prices And Gets HUMILIATED With Facts,fake
" Trumpcare Is Officially Dead, Senator Collins Confirms She’s Voting No",fake
Kremlin: U.S. to blame for no Putin-Trump bilateral meeting in Vietnam,real
 Trump Justice Department Is Going After Anyone Who Even THOUGHT Of Protesting Trump,fake
 ‘Ghost Of Witness Flipped’: Hilarious SNL Skit Takes Trump Into His Own Private Holiday Hell (VIDEO),fake
 Americans Gloriously Mock Trump After He Brags About How Little TV He Watches (TWEETS),fake
 Bill Maher Turns GOP’s ‘States’ Rights’ Nonsense On Its Head In EPIC Defense Of Liberal States’ Defiance Of Trump (VIDEO),fake
"Congress passes bill to temporarily fund government, avert shutdown",real
 Trump’s Own Diversity Council Member Fact-Checks Him On DACA: ‘He’s A Liar’ (VIDEO),fake
"China says South China Sea not an issue between China, United States",real
White House says Tillerson still in charge at State Department,real
 The Walls Close In On Trump As His Disgraced National Security Adviser Faces Indictment From Team Mueller,fake
" The Numbers Are In: States, Insurers Literally Say Obamacare Trainwreck Is TRUMP’S Fault",fake
 Beef Jerky Company Just Bit Off More Than It Can Chew With Direct Appeal To Nazis (VIDEO),fake
India orders investigation after Paradise Papers leak,real
 It Took A Democratic Governor To Finally Call The Mosque Bombing Terrorism,fake
House panel chair introduces $81 billion disaster aid bill,real
Senate leaders look to work with White House to block Moore,real
"Twitter bans ads from two Russian media outlets, cites election meddling",real
Iran calls Houthi missile attack targeting Riyadh 'reaction' to Saudi aggression,real
Top Democrats in Congress accept Trump offer to meet on year-end priorities,real
House Speaker Ryan says special counsel should not be fired: Fox News Sunday,real
"Trump not interfering with probe, won't fire Mueller: lawyer to CNN",real
 Here’s What Companies Admit They Will REALLY Do With Money They Save From Trump’s Tax Break,fake
 WATCH: Trump Insults Poland By Downplaying The Horrors They Experienced During World War II,fake
" GOP Senator Boldly Defies McConnell, Vows To Be The One To Kill Trumpcare",fake
 Donald Trump Gets WRECKED After Saturday Meltdown About ‘Dumb’ Mika Brzezinski (TWEETS),fake
 Trump Humiliates Himself And Wastes Time At G-20 Summit By Throwing A Twitter Tantrum About Hillary’s Emails,fake
 FBI Agents Destroy Donald Trump After He Attacks The Agency And James Comey,fake
 Sean Hannity Barely Spends 6 Seconds On Last Night’s Drubbing – Revisits Trump ‘Victory’ Instead,fake
 Trump Rages: My Tweets Attacking Mika Are ‘Modern Day Presidential’,fake
Top ranks of career U.S. diplomats thin under Tillerson: union,real
 The GOP Senate Just Set A Huge Trap For Trump; He’ll Be Screwed No Matter What He Does,fake
California lawmaker resigns after media report of sexual harassment,real
 WATCH: Republican Strategist BLASTS ‘Lawless’ Trump,fake
"Republican Senator Rubio will back tax bill: CNBC, citing sources",real
 Trump Throws Hissy Fit After New York Times Reports That He Doesn’t Know What’s In His Own Healthcare Bill,fake
 Trump Just Dedicated A F**king GOLF TROPHY To People Who Are Suffering In Puerto Rico,fake
Alabama Republican Party stands by U.S. Senate candidate Moore,real
"Senator Franken, facing resignation calls, to make announcement on Thursday: office",real
What's in the final Republican tax bill,real
 The Guy Donald Trump Called ‘My African-American’ Thinks Trump Is Horrible For Black People,fake
Trump lawyers say judge lacks jurisdiction for defamation lawsuit,real
Civil rights pioneer to eschew museum opening after Trump says will attend,real
Republican Party backs embattled Senate candidate Moore: official,real
" Trump Brags he Owns An ‘Original Renoir’, Yet The Real Painting Is Hanging In A Chicago Gallery",fake
"Factbox: Trump on Twitter (December 6) - America, California's wildfires",real
Rival sides square off over succession at U.S. consumer finance agency,real
U.S. Senate Republicans to unveil tax proposal on Friday: McConnell,real
"Trump on Twitter (Dec 27) - Trump, Iraq, Syria",real
 BUSTED: Leaked Documents Prove Trump Took Laundered Money From Russian Bank,fake
U.S. House and Senate leaders reach agreement 'in principle' on tax plan: AP,real
" Melania Gives Up On Cyberbullying After Trump’s North Korea Threats, Turns To Drug Addiction",fake
U.S. lawmakers introduce bipartisan bills on foreign investment amid China worries,real
White House says tax bill will not hurt Puerto Rico,real
 Principles Over Power: Why Republicans Need To Do What’s Right To Remain Relevant,fake
 Even Robert E. Lee’s Great-Great Grandson Wants Statues Torn Down,fake
"Putin, Trump to discuss North Korea on Tuesday: IFX cites Kremlin aide",real
"Trump son, former partner due before House panel this week: source",real
 Trump Throws Intelligence Community Under The Bus To Side With Putin Despite Strong Evidence Of Russian Meddling,fake
Trump to announce terrorism list decision on North Korea next week: White House,real
Senators to introduce bill to boost cyber defenses of voting systems,real
" Trump Embarrasses America Again, Lets Ivanka Take His Place At G-20 Summit",fake
 Trump’s National Security Adviser Reportedly TRASHED Him – This Is Epic,fake
Bill could make Congress members liable for harassment payouts,real
No. 2 Republican in U.S. House sees conference on tax bill soon,real
More worries in Congress over cuts at U.S. State Department,real
Republicans confident tax bill to become law this week,real
 Trump Goes Into Full Denial Mode During Temper Tantrum Over Historically Low Approval Rating,fake
 OOPS: Trump Forgets That He’s A Twitter Obsessed Narcissist Who Talks About Himself,fake
 Seth Meyers Summed Up Monday’s Events Perfectly [VIDEO],fake
House panels seek documents on Puerto Rico utility deal,real
House Democrats seek probe of FCC chairman's treatment of Sinclair,real
 Congressional Black Caucus Signals That They Absolutely Intend To Impeach Trump,fake
 This Sarah Huckabee Sanders Tweet About Attacking The FBI Hasn’t Aged Well,fake
" Americans Were Asked By A Poll To Pick One Word To Describe Trump, And The Result Will ENRAGE Him",fake
Senate panel to vote next week on online sex-trafficking bill,real
Business group pushes for U.S. flood insurance reform as December deadline looms,real
 ‘Auntie’ Maxine Waters’ Showdown In Senate Inspires Gospel Anthem For The Silenced,fake
White House says Tillerson to remain as secretary of state,real
"Powell rose to top of Trump's list as safe, savvy choice for Fed",real
Tillerson seeks to reassure worried Europe over Trump,real
 Twitter Just Banned A Major Trump Ally For Threatening Journalists (SCREENSHOTS),fake
 WaPo: Trump Tried To Get Sessions To Let Racist Sheriff Joe Arpaio Off The Hook Months Ago,fake
Kremlin says Putin not influenced by ex-Trump official Flynn,real
 Rupert Murdoch Told Roger Ailes To Help Elect ‘Anyone But Trump’ – ‘Even Hillary’ (DETAILS),fake
Obamacare mandate in U.S. Senate tax plan not bargaining chip: Mnuchin,real
 Walmart Forced To Apologize After Store Tells Kids To ‘Own The School’ With Guns,fake
Trump backs Alabama Republican Senate candidate Moore,real
Trump administration releases rules on disclosing cyber flaws,real
 Trump Hesitant To Negotiate With Schumer On Health Care Because He’s Not ‘A Serious Person’,fake
 Nazi Website Praises Trump’s Pathetic Response To Charlottesville Violence,fake
Democrats eye gains in Pennsylvania trial on 'goofy' gerrymandering,real
 GOP Just Demanded Hillary Clinton Give Them A ‘Plan’ To Fix Healthcare And Got ROASTED ALIVE (TWEETS),fake
Trump declares opioids a U.S. public health emergency,real
" Trudeau HUMILIATES Trump, Openly Prefers To Speak To Other U.S. Officials Instead",fake
" IT’S ON: Toddler Trump Hears Critical McConnell Statements, Promptly Starts To Lose It (TWEETS)",fake
 Trump Whines Incoherently About ‘Russian Witch Hunt’ And The Internet Laughs At Him (TWEETS),fake
 GOP Senator Has Had ENOUGH: Firing Mueller Could End Trump Presidency (VIDEO),fake
 Top Intel Dem Rips Trump For Kissing Putin’s A**s: ‘No Art To This Deal’ (TWEETS),fake
Trump defends Senate candidate Moore despite misconduct allegations,real
 Trump’s Involvement In Houston Chemical Plant Explosion Will Set Your Hair On Fire,fake
"In elaborate hoax, websites say NFL Redskins renamed as Redhawks",real
"Factbox: Trump on Twitter (Dec 1) - Kate Steinle, Tax cuts, Rex Tillerson",real
"Republicans propose to delay, pause Obamacare taxes",real
U.S. authorities identify six Russian officials in DNC hack: WSJ,real
Ex-convict coal magnate says to run for Senate,real
" Michelle Obama Went To A Birthday Party, So Conservatives Called Her ‘Ghetto Trash’ (SCREENSHOTS)",fake
 Five Times Five-Time Draft Dodger Donald Trump Insulted Those Who Actually Served,fake
 Trump Tried To Distance Himself From His ‘Senior Advisor’ Who Promised Russia Would Help Get Him Elected,fake
Senate drops proposal to change taxes on startup stock options,real
Former U.S. Vice President Biden leaves open door to 2020 run,real
" NBA Kowtows To Racists, Orders Players To Stand For Anthem",fake
FCC media rule rollback could usher in TV station buying spree,real
" Former CIA Director Slams Trump Over UN Bullying, Openly Suggests He’s Acting Like A Dictator (TWEET)",fake
Special counsel's Russia probe entering new phase with first charges,real
Duterte berates Canada's Trudeau at end of Philippines summit,real
Wall St. tax break once blasted by Trump preserved in Republican bill,real
Trump heaps praise on 'very special' Xi in China visit,real
China's Xi: stable development of China-U.S. economic ties to drive global growth,real
" Michael Flynn Begs For Donations On Twitter, Gets Wrecked By The Internet",fake
"U.S. towns, cities fear taxpayer revolt if Republicans kill deduction",real
"NY, California governors say residents would suffer under Trump tax cuts",real
 The Exact Same Texas Lawmakers That Voted Against Hurricane Relief Are Now Begging For Help,fake
Factbox: Republicans to watch in Senate tax bill fight,real
 Corker Has Last Word On Day Care Donnie: ‘On The Path To WWIII’,fake
Republican Senator Johnson opposes Senate tax proposal: WSJ,real
Scientists decry Arctic oil expansion in letter to U.S. senators,real
 That Story Trump Just Told The Press About Obama And Air Force One NEVER Happened,fake
 Trump Supporter Pleads Guilty To Tampering With Election Results In Iowa,fake
North Korea calls for a halt to 'brutal' sanctions,real
Bipartisan Harvard panel recommends hacking safeguards for elections,real
 Watch A GOP Member Of Science Committee Suffer Total Humiliation At Hand Of NASA Scientist,fake
Green groups sue Trump administration over delay of methane rule,real
 Swastika-Covered Guy Gets Punched In The Face Outside Nazi Rally And It’s Beautiful (VIDEO),fake
 The Internet Wrecks Tomi Lahren For Halloween Costume Which Violates U.S. Flag Code,fake
 A Florida Pizza Hut To Irma-Fleeing Employees: You Will Be Disciplined If You Leave,fake
 There’s A Bill In The House That Would Completely Shut Down The Russia Investigation,fake
Conyers defiant as Democratic leaders call on him to resign,real
 Accused Child Molesting Senate Candidate Roy Moore Sides With Putin Over Reagan (VIDEO),fake
 Dan Rather: Mueller’s Russia Investigation Has Trump ‘Seized With Fear’,fake
 Racists’ Heads Will Explode When They Find Out White-On-White Crime Is Higher,fake
Republicans appear all but certain to pass tax legislation,real
"Factbox: Trump on Twitter (Dec 29) - Approval rating, Amazon",real
 4 Reasons Why This Little-Known Trump Aide Is More Dangerous To Trump Than Paul Manafort,fake
U.S. tax reform poses more risks for state and local governments,real
Mexico to review need for tax changes after U.S. reform-document,real
"With 'America First,' Trump mutes U.S. voice on human rights in Asia",real
Trump considers plan to replace Tillerson with CIA chief: U.S. officials,real
 WATCH: Morgan Freeman Uses His Brilliant Movie Scripting Skills To Explain Just How Dangerous The Russia Scandal Is,fake
 Maxine Waters Reveals The REAL Reason Pence Is Putting Up With Trump’s Madness,fake
Senate Democrats demand that Sessions testify again on Russia,real
" Top Republicans TRASH Trump’s Immigration Proposal, GOP In Pieces (TWEET)",fake
" Sitting GOP Senator Has Had ENOUGH, Donates To Alabama Democrat For Senate (IMAGE)",fake
Senate intel panel's top Democrat: Lawmakers will want talk to Kushner again,real
U.S. House Democratic women seek probe of Trump misconduct accusations,real
" Even After Charlottesville, If You Hit Protesters With A Car, Republicans Want To Protect You",fake
 BREAKING REPORT: Trump Is Terrified; Asking Lawyers If He Could Pardon Himself,fake
White House says Trump will announce Fed chair pick next week,real
Trump to tap nuclear industry lobbyist for U.S. Energy Dept job,real
" BREAKING: John McCain Breaks With His Best Senate Friend, Will Vote No On Graham-Cassidy Deathcare Bill (VIDEO)",fake
 McDonald’s Manager To Hispanic Customer: ‘Can You Spell Deportation?’ (VIDEO),fake
" Three Days Before Trump Calls For More Police Brutality, Young Protester Is Violently Removed From Trump Rally",fake
 Disgusting Trump Is Using Hurricane As An Opportunity To Deport People,fake
Insurers step up pitch for Obamacare as government slashes its effort,real
 Russian Lawyer Willing To Testify In Front Of The Senate ONLY If ‘Given Safety’,fake
" NEW: Kushner Lied About MILLIONS In Assets On Disclosure Forms, Over 70 Items Discovered Missing",fake
 OOPS: Trump Judicial Nominee Didn’t Tell Congress About Marriage To White House Attorney,fake
First charges filed in U.S. special counsel's Russia investigation: source,real
" Buy American? Even Trump’s MAGA Gear Is Sold Via Canada, Not America",fake
" WATCH: House Dem Has Had ENOUGH, Formally Starts Impeachment Proceedings Against Trump",fake
Senate Republican leader says on path toward deal on government funding,real
White House says Trump not eying corporate tax rate phase-in,real
Factbox - The four men charged in U.S. probe of Trump-Russia ties,real
Nuclear plan backer denies Inauguration Day text with top Trump aide,real
 Obama Photographer BRILLIANTLY Trolls Trump’s Wildly Inappropriate Speech To The Boy Scouts (IMAGE),fake
"Twitter employee briefly shuts Trump account, putting controls in question",real
" Trump Brags About Hand Size While At Hurricane Shelter, And It’s Beyond Weird (VIDEO)",fake
"China, U.S. create 'miracle' with $253.4 billion in dealmaking: Zhong",real
"Trump vaunts trade progress, red carpets on 'fruitful' Asia trip",real
 Here Are 12 Tweets Trump DEFINITELY Regrets Sending,fake
 Trump Comes For McConnell AGAIN With Latest Statement: ‘Fulfill My Campaign Promises For Me Or Quit’,fake
Mulvaney has legal standing take charge of U.S. Consumer Financial Protection Bureau: White House,real
China says has made best effort on North Korea ahead of Trump visit,real
 Trump HUMILIATED As His Approval Rating Is Now Even Lower Than Clinton’s During Sex Scandal,fake
Republican Moore embraces Trump message on eve of Alabama election,real
Net neutrality repeal gives Democrats fresh way to reach millennials,real
FBI Russia probe helped by Australian diplomat tip-off: NYT,real
 Ron Paul Blames Obama For A Stock Market Crash That Hasn’t Happened Yet,fake
" Trump’s UN Speech May Have Been Terrible, But The Faces Of Other Representatives Were Priceless",fake
U.S. intel committee subpoenas comedian in Russia election meddling probe,real
Former Trump adviser Page met Russian officials in 2016 Moscow trips,real
Trump was wrong to retweet UK far-right group: British PM May's spokesman,real
Ex-U.S. consumer bureau head Cordray set to run for Ohio governor,real
 WATCH: Van Jones Scorches Insane Republican Who Think’s Trump’s Chaos Helps His Agenda,fake
"Taiwan the most important issue in Sino-U.S. ties, China's Xi tells Trump",real
 Guilty As Hell Paul Manafort And Rick Gates Enter ‘Not Guilty’ Pleas In Russian Collusion Scandal (TWEET/VIDEO),fake
 Insane Racist Fired For Death Threats Against Muslims ‘Parked Too Close’ At Walmart,fake
 A Reminder Of How Much The NRA Has Spent On Trump In Wake Of ANOTHER Mass Shooting,fake
 Kellyanne Conway On Trump Administration’s Lies: But What About Benghazi! (VIDEO),fake
 WATCH: Mike Pence’s Photo Op With Puerto Rico Survivors Just Went TERRIBLY Wrong (VIDEO),fake
 Donald Trump Just Tweeted An Incredibly Obvious Lie And Got Fact-Checked In Real Time (TWEETS),fake
" REPORT: Mueller Hot On Trump’s Trail, Has Built His Own ‘Miniature Justice Department’",fake
" Vegas Cops Take Cheap Shot At Michael Bennett, Say ‘Hiding’ During Shooting Is Probable Cause",fake
White House says will work with Rubio on child tax credit,real
Trump's son Donald Trump Jr. to meet with House panel Dec. 6: CNN,real
Trump: Market has not fully digested tax cut changes,real
 One Of Trump’s ‘Very Fine People’ Extradited To Charlottesville After Brutal Assault,fake
 Trump’s Approval Rating Takes Game-Changing Turn In 11 Pro-Trump States (DETAILS),fake
" Republican Stuns CNN Host, Wants To Starve Americans To Pay For Trump’s Border Wall (VIDEO)",fake
Russia's Sibur says had no direct dealings with Wilbur Ross,real
 Emboldened NRA Threatens New York Times: ‘We’re Coming For You’ (VIDEO),fake
White House says Flynn's Russia plea implicates Flynn alone,real
"Trump on Twitter (Dec 8) - Hanukkah, Roy Moore, Wells Fargo",real
U.S. lawmakers seek 'well-rounded biofuels policies',real
Former Trump adviser Papadopoulos pleads guilty to lying to FBI,real
"In Georgia, battle of the 'Staceys' tests Democrats' future",real
 Trump In Puerto Rico Disgustingly Tells Puerto Ricans It’s Costing Too Much To Save Them,fake
 REPORTS: Charlottesville Fallout Was The Final Nail In Bannon’s Coffin,fake
