title,labels
 Chaos Ensues After Man Accidentally Shoots Himself And Wife In Church During Gun Safety Talk,fake
 New Accuser Confirms She Got Roy Moore Banned From The Mall (VIDEOS),fake
 Roy Moore Is Asking People To Snitch On The Media And He’s Getting Trolled HARD (TWEETS),fake
 Trump Admin. Tosses Out Another Obama Rule – His Sons Can Be Even Worse Douchebags Now,fake
 The Internet Lights Up After The Pentagon Accidentally Retweets A Call For Trump To Resign,fake
 Anti-Gay GOP Rep Gets BUSTED For Having Inappropriate Relations With A Man In His State Office,fake
 That Time Trump Mocked Marco Rubio For Drinking Water Just Came Back To Haunt Him,fake
 WATCH: Corporate CEOs SHOCK Trump’s Economic Adviser With Truth About GOP Tax Cuts,fake
 Texas Sheriff Threatens To Jail Truck Owner For Anti-Trump Sticker (SCREENSHOTS),fake
 WATCH: Delusional Trump Fans Lash Out At Fox Host For Reporting Facts Of Uranium One Deal,fake
 Roy Moore Supporting Republican LOSES It After Being Called An Extremist,fake
 That Story Trump Just Told The Press About Obama And Air Force One NEVER Happened,fake
 This 4-Year Old Tweet From Donald Trump Shows Us He’s AT LEAST As Perverted As Roy Moore,fake
 OOPS: Trump Judicial Nominee Didn’t Tell Congress About Marriage To White House Attorney,fake
 Trump Laughs After Philippine Leader Calls Journalists ‘Spies’ In Country Where Journalists Are Routinely Murdered,fake
 Watch: Joe Biden Just Wrecked Trump In Six Words And It’s Hilarious,fake
 BUSTED: Leaked Documents Prove Trump Took Laundered Money From Russian Bank,fake
" Perverted GOP State Rep. Corners Lobbyist, Tries To Force Her To Help With His ‘Raging B**ner’",fake
 All Of Roy Moore’s Former Colleagues Knew He Liked ‘Dating’ Teenage Girls,fake
 WATCH: Christian Right Founder Condemns Them For Supporting Nazis And Sexual Misconduct,fake
 Conservative ‘Christian’ Leader Defends Pedophile GOP Candidate Roy Moore,fake
 Trump Throws Intelligence Community Under The Bus To Side With Putin Despite Strong Evidence Of Russian Meddling,fake
 This Old Mike Pence Tweet Sure Is Uncomfortable Now That The G In MAGA Means Grope,fake
 Sean Hannity Just Said Child Molestation Is OK If It’s ‘Consensual’ (VIDEO),fake
 Newsweek Just Made Their BEST Cover Ever And People Are Freaking Out,fake
 Alabama Republican Just Defended Pedophilia Using The Bible,fake
 GOP Senate Candidate Turns Out To Be A Disgusting Child Molester,fake
 Senate Democrats Have Been Sneaking Around Behind GOP’s Back To Unravel Trump Administration,fake
 Sunday’s Massacre In Texas Bumped Columbine Out Of The Top Ten Deadliest US Mass Shootings,fake
 Sean Hannity Barely Spends 6 Seconds On Last Night’s Drubbing – Revisits Trump ‘Victory’ Instead,fake
" Maine Voters Tell Trump To Go F*ck Himself, Expand Medicaid Through Obamacare",fake
 WATCH: Rick Santorum Torches Trump For Not Taking Responsibility For Electoral Bloodbath,fake
" Trump Seething After Humiliating Virginia Elections, Throws Ed Gillespie Under The Bus",fake
 The Resistance Just Gave Trump A Huge F**CK YOU On Election Night,fake
 Trump’s Justice Dept. Realizes Prosecuting Woman For Laughing Is Stupid – Drops Case Entirely,fake
 Trump Jr. Goes Full Dumba** On Twitter By Promoting Wrong Day Of Virginia Election,fake
 Trump Just Openly Called For A Third World War (VIDEO),fake
 OOPS: Trump Agrees That People Like Him Should Be Treated ‘Harshly’ For Milking Their Country,fake
" Miss Texas Gave A VERY Unexpected Answer When Asked About Trump, And Republicans Are Furious",fake
 Trump Is Trying To Make Facebook Give Him Personal Info Of People Who Criticize Him,fake
 Multiple Witnesses Confirm: The Pee Pee Tapes Are Real,fake
" Fox News Just Completed Transformation Into Safe Space For Fragile, Snowflakey Donald Trump",fake
 Trump Tells Japanese Diplomats He Never Knew There Were So Many Countries In The World,fake
 Latest From Conservatives: God Was Answering Victims’ Prayers By Letting Them Get Shot,fake
 University Of Texas Police Kick Humiliated Nazis Off Campus Before They Could Start Trouble,fake
 Russian Lawyer Drops Bomb On Donald Trump Jr.; Alleges Direct Pay-To-Play Attempt,fake
 WATCH: Republican Lawmaker Claims Forcing Women To Have Babies Will Help The Economy,fake
 Someone Tried To Cash In On Antifa With These $375 Jackets And Twitter Had A Field Day,fake
 Senator Delivers SCATHING Rebuke To His GOP Colleagues – ‘No One Is Safe’ Because Of You,fake
 A Reminder Of How Much The NRA Has Spent On Trump In Wake Of ANOTHER Mass Shooting,fake
" 27 People Murdered In Texas Mass Shooting, And Trump’s Response Is Classic Racist",fake
 Trump Went To Japan And Immediately Proved He Knows Zilch About How Missiles Work,fake
 The Walls Close In On Trump As His Disgraced National Security Adviser Faces Indictment From Team Mueller,fake
 Former Watergate Prosecutor: Mueller Could Gag Trump On Russia,fake
 GOP Lawmaker Links Abortion To The Economy In One Bizarre And Horribly Offensive Rant (VIDEO),fake
 Hawaiians Had The Perfect Signs To Infuriate Trump When He Landed There,fake
 Trump Wants The Supreme Court To Punish Lawyers Who Win Cases Against His Administration,fake
 Hypocrite Ivanka Trump HUMILIATED For Calling For End To Sexual Harassment While Predator Dad Is In Japan With Her,fake
" After Pulling NFL-Related Ads, Papa John’s Gets An Unlikely Sponsor Of Their Own: Nazis",fake
" Mike Pence Gets A Special Gift In His Office Mail Every Month, And He Probably Burns It (VIDEO)",fake
" With Just Two Words, GOP Congressman ADMITS He Doesn’t Answer To His Constituents",fake
 One Hero Made Donald Trump Panic And Made Twitter Celebrate (DETAILS),fake
 Sarah Huckabee Sanders SHREDDED By L.A. Times For Truth-Twisting – This Is Brilliant,fake
 Trump’s Energy Secretary Has An Idea For Stopping Sexual Assault – This Is INSANE,fake
" Jeff Sessions: Oh, You Mean THAT Russian Contact. I Remember Now!",fake
" ‘Alt-Right’ White House Reporter Gets Fooled By Fake Tweet, Reports Upcoming Civil War",fake
 Papa John Attacks The NFL And First Amendment After His Sh*tty Pizza Loses Him A Small Fortune,fake
 Trump Is Literally Sabotaging The Case Against The NYC Terrorist By Not Keeping His Mouth Shut,fake
 4 Reasons Why This Little-Known Trump Aide Is More Dangerous To Trump Than Paul Manafort,fake
 Former Ambassador Accuses Trump Of Violating Constitution Every Time A Diplomat Visits,fake
 Trump Is Throwing Jared Kushner Under The Bus Over Mueller Indictments,fake
 Russians Fooled Dumbass Conservatives With Meme Of Hillary Fistfighting Jesus,fake
 Chuck Schumer Just NUKED Trump For Blaming Him For Terrorist Attack,fake
 Watch GOP Senator Almost Knock Over American Flags As He Dodges Indictment Questions (VIDEO),fake
 WATCH: Trump’s Chief Of Staff John Kelly Just Admitted That He Doesn’t Think There Was Anything Wrong With Slavery,fake
 Legal Community SCHOOLS Trump’s Lawyer For Claiming Collusion Is Not A Crime,fake
 WATCH: Hannity Loses His Sh*t And Refers To Hillary As ‘President Clinton’ During UNHINGED Rant,fake
 Seth Meyers Summed Up Monday’s Events Perfectly [VIDEO],fake
 This 2016 Hannity Tweet Is Now Like A Knife In The Back For Trump,fake
 How Sh*tty Of A Birthday Must Ivanka Trump Be Having?,fake
 Guilty As Hell Paul Manafort And Rick Gates Enter ‘Not Guilty’ Pleas In Russian Collusion Scandal (TWEET/VIDEO),fake
 This Is What Fox News Considered ‘News’ As Everyone Else Covered Indictment Of Trump Camp Manager,fake
 Racists’ Heads Will Explode When They Find Out White-On-White Crime Is Higher,fake
 McCain Has The Best Laugh He’s Had In 80 Years When He’s Asked THIS About Donald Trump,fake
 Attempts By Trump To Pardon Anyone Indicted By Mueller Could Backfire On Him In A BIG Way,fake
 Here’s What We ALL Need To Do If Trump Moves To Fire Mueller And Shut Down The Russia Probe,fake
" The Numbers Are In: States, Insurers Literally Say Obamacare Trainwreck Is TRUMP’S Fault",fake
 Hillary Hilariously Ribs Fox Hosts For Their Insane Obsession With ‘Impeaching’ Her (VIDEO),fake
 The Internet Wrecks Tomi Lahren For Halloween Costume Which Violates U.S. Flag Code,fake
 ‘DO SOMETHING!’: Trump Panics As Mueller’s Investigation Closes In On Him,fake
 Hillary Clinton TOTALLY Just Rubbed ‘Indictment’ Rumors In Trump’s Big Orange Face (SCREENSHOTS),fake
 Twitter Just Banned A Major Trump Ally For Threatening Journalists (SCREENSHOTS),fake
" If You’re Looking For Ways To Irritate Trump, Here Are Some Tips (IMAGES)",fake
 BREAKING: The First Charges Have Been Filed In Mueller’s Russia Investigation,fake
 Trump’s Puerto Rico Contract With Two-Man Energy Company Is Corrupt As F*ck,fake
 WATCH: Former White House Official Suggests On Hannity That Hillary Clinton Should Be Executed,fake
 Trump Just Closed The Office That Coordinates Russia Sanctions,fake
 Yet Another Asshole Just Rammed A Bunch Of Protesters With His Car (VIDEO),fake
 Judge Who Barred A Mom From Seeing Her Baby For A Year Over Unpaid Fees Resigns,fake
 Trump Just Got Banned From The Place Where He Proposed To Melania,fake
 John Lewis Has the PERFECT Birthday Message For Hillary And Trump Will Be FURIOUS (TWEET),fake
 Milo Yiannopoulos Tells Aussies To Vote Against Marriage Equality Weeks After His Own Gay Wedding,fake
 Trump’s ICE Thugs Stop Ambulance Taking 10-Year-Old Girl With Cerebral Palsy To Surgery,fake
" Alt-Right Trump Lover Loses His Sh*t, Kills His Own Dad For Calling Him A Nazi",fake
 WATCH: This Amazingly Aware Company Has Created A Brilliant Way To Document Trump’s Dangerous Tweets,fake
 Melania Trump Hit With SERIOUS Side-Eye After Telling Black Kids To Respect Each Other,fake
" Trump Wets His Pants Over Bob Corker Again, Corker Alerts The White House Daycare Staff",fake
 GOP Senate Candidate Says Kids Were Murdered At Sandy Hook Because His God Was Angry,fake
 WATCH: John McCain Mocks President Bone Spurs Over His Draft Deferments,fake
 Soldier’s Widow Finally Speaks: ‘It Made Me Cry Even More’ — Trump Calls Her A Liar IMMEDIATELY,fake
 Nursing Textbooks Recalled And Apology Issued For Racial Stereotypes Related To Pain Management,fake
 Trump SCREAMS On Twitter After Seeing A Poll On Fox News,fake
 Trump And John Kelly Just Got RIPPED APART By A Medal Of Honor Recipient (VIDEO),fake
 NRA Releases Fascist Ad Calling All Trump Critics ‘Saboteurs’ Whose Future Is ‘Failure’ (VIDEO),fake
" Trump Takes Credit For Releasing JFK Files, But The Bill Requiring It Was Passed 25 Years Ago",fake
 Bill Maher Takes Down Trump’s Lying Chief Of Staff In BLISTERING Rebuke (VIDEO),fake
 WATCH: Reporters DRAG Sarah Huckabee Sanders In Brilliant Fact-Check (VIDEO),fake
 Swastika-Covered Guy Gets Punched In The Face Outside Nazi Rally And It’s Beautiful (VIDEO),fake
 Trump Gets His A** Handed To Him By British Lawmakers For Lying About Rising Crime Rate In UK,fake
" Trump Brags he Owns An ‘Original Renoir’, Yet The Real Painting Is Hanging In A Chicago Gallery",fake
 Richard Spencer’s Fascist Goon Squad Couldn’t Keep Florida From Laughing His Nazi Ass Off The Stage,fake
 W. Virginia Halloween Store Boasts Shockingly Racist Costume Display Featuring Pres. Obama (VIDEO),fake
 New Report PROVES Voter Suppression Handed Trump Wisconsin And Possibly The Whole Election,fake
 WATCH: George W. Bush Calls Out Trump For Supporting White Supremacy,fake
 The ‘Fake Melania Trump’ Conspiracy Theory Is Taking The Internet By Storm And It’s Everything,fake
 Trump HUMILIATED As WH Walks Back His Attack After Soldier’s Mom Confirms His Insensitive Phone Call,fake
 Trump WHINES Like A B*tch On Twitter After NFL And Democrats Tell Him To Go F*ck Himself,fake
" Trump Finally Delivers On Promised Phone Call To Soldier’s Wife, Says The Most Disgusting Thing EVER",fake
 God Bless Whoever Is Photoshopping These Hilariously Long Ties Onto Donald Trump,fake
" Town Defends Official After Wife’s ‘N*gger’ Rant On FB, Says People Who Shared Post ‘Just As Bad’",fake
 McCain Responds With Zero F*cks To Give Over Trump’s Threat,fake
 Man In ‘I Stand For The National Anthem’ Shirt Thinks American Flag Is A Lawn Chair,fake
" As ‘Me Too’ Posts Flood Social Media, Video Surfaces Of Trump Bragging About Hiring A ‘HOT’ Teenager",fake
" Robert De Niro Attends Charity Event, Tears Into That ‘Motherf***er’ Donald Trump",fake
 Satanists Brilliantly Troll Anti-Gay Baker By Requesting A Birthday Cake For Lucifer (VIDEO),fake
" FCC Rebukes Trump, Refuses To Dismantle First Amendment Over His Petty Tantrums",fake
 Tiffany Trump Is Sad As Hell After Whole Family Completely Forgot Her Birthday,fake
 WATCH: Van Jones Scorches Insane Republican Who Think’s Trump’s Chaos Helps His Agenda,fake
 Hustler Owner Is So Fed Up With Trump That He Is Offering $10 Mill For Dirt To Get Him Impeached,fake
" Trump Administration Tries To Fix His Dumbest Statement Yet, Fails MISERABLY (IMAGE)",fake
" After Whining About NFL ‘Disrespect,’ Trump Laughs And Jokes During Military Ceremony",fake
 White Pro-Trump Pastor Tries To Rap Attack On Eminem And It’s F*cking Hilarious (VIDEO),fake
 Puerto Rico’s Governor Pleads For Help After Trump Threatens To Abandon Recovery Efforts,fake
 Trump Finalizes Betrayal Of LGBT Community With First Speech To Hate Group By A President,fake
" Trump Just Made A Major Threat To The Press, Jake Tapper’s Response Is Perfect (VIDEO)",fake
" WATCH: House Dem Has Had ENOUGH, Formally Starts Impeachment Proceedings Against Trump",fake
 Trump Threatens To Shut Down NBC In Early Morning Hissy Fit,fake
 White House Confirms Resident Nazi Stephen Miller Is An Even Bigger Scumbag Than You Knew,fake
 FEMA: It’s ‘Not Our Job’ To Deliver Food And Water Relief To Puerto Rico,fake
 Trump Just Asked The Most Unqualified Person Ever To Join His NAFTA Renegotiation Team,fake
 GOP Lawmaker: Republicans Are Freaking Out About The ‘Dysfunction’ In The White House (VIDEO),fake
 Trump EXPLODES In Twitter Tantrum That Proves He’s Mentally Unfit To Be President,fake
 Black Man Beaten By Nazis At Pro-Trump Rally So Naturally Cops Charged HIM With A Crime,fake
 Corker Has Last Word On Day Care Donnie: ‘On The Path To WWIII’,fake
" Pence Joins Trump’s NFL Whinefest, Leaves Colts Game In A Huff Over Police Brutality Protests",fake
" If This Missouri Senate Candidate Is For Real, He’s A Real Subhuman Scumbag",fake
 WATCH: Fox Anchor Chris Wallace Rips NRA Stooge A New One For Lying About Gun Control,fake
 Outgoing GOP Senator BLISTERS The ‘Adult Daycare Center’ That Is Trump’s White House (TWEET),fake
 One Of Trump’s ‘Very Fine People’ Extradited To Charlottesville After Brutal Assault,fake
 Nazis Whine Over Impending Release Of An Anti-Nazi Video Game (VIDEO/TWEETS),fake
 A New Low: Trump Exploits Las Vegas Shooting To Raise Money For His Campaign (TWEET),fake
 ‘Charlottesville 3.0’: Nazis Descend Upon College Town For Another Torch-Lit Rally (TWEETS/IMAGES),fake
 Conservative Dream Come True: Judge Grants Rapist Joint Custody Of Victim’s Child,fake
" Trump Whines About Late Night Hosts Making Jokes About Him, Accuses Them Of Conspiring With Democrats",fake
" Trump Bucks GOP Leadership Again, Runs Back Into The Arms Of Chuck And Nancy",fake
 Internet Collectively Cringes After Photographer Snaps Pic Of Trump’s Nutsack,fake
 WATCH: Mike Pence’s Photo Op With Puerto Rico Survivors Just Went TERRIBLY Wrong (VIDEO),fake
" SURPRISE: The People Behind ‘Fearless Girl’ Statue Were Cynical, Greedy, Anti-Feminist Men",fake
 Trump Kicks Off Hispanic Heritage Month By Saying ‘Puerto Rico’ In Fake Accent (VIDEO),fake
" WH Staffer Explains Trump’s ‘Calm Before The Storm’ Comment, Proves He Shouldn’t Be POTUS (VIDEO)",fake
 Thanks To Trump The U.S. Economy Lost Jobs For The First Time In 7 Years,fake
" SLC Cops Murder Crying Suspect, Shoot Him In The Back AND Taser Him Without Even Pursuing",fake
 Anti-Abortion Republican Just Aborted Himself From Office,fake
 The Justice Department Just Said It’s Legal To Discriminate Against Transgender People,fake
" The Senate Banking Committee Held An Equifax Hearing, And The Monopoly Man Showed Up",fake
" In The Wake Of Las Vegas, The GOP Are Finally Beginning To Support Gun Control",fake
 Hilarious Video Shows The Moment Bernie Discovered He’s Related To His SNL Impersonator,fake
 Trump LOSES HIS SH*T On Twitter Because The Media Told The Truth About Him Again,fake
 Anti-Abortion Republican Cheated And Tried To Get His Mistress To Have An Abortion,fake
 Trump’s IRS Just Decided They’re Going To Give All Your Info To Equifax After They Got Hacked,fake
" Trump Walks Into Church In Puerto Rico, Starts Throwing Paper Towels At The Crowd (VIDEO)",fake
" Pat Robertson Says If We’d Only Worship Trump, Las Vegas Never Would’ve Happened",fake
 Trump In Puerto Rico Disgustingly Tells Puerto Ricans It’s Costing Too Much To Save Them,fake
 WATCH: Trump Blames Puerto Ricans For Recovery Effort Problems While Giving Himself An A+,fake
 Bill O’Reilly Writes INFURIATING Blog Post On Las Vegas Massacre – It’s Absolutely Vile,fake
 Country Guitarist Who Survived Vegas Shooting Changes Mind On Gun Control: ‘How Wrong I Was’,fake
 Miami Police Union Leader Joins Other Conservatives In Bashing NFL For Las Vegas Massacre,fake
 Trump: Mass Shootings Will Stop If Americans Unite And Pray For Peace,fake
 Geraldo Rivera To San Juan Mayor Carmen Yulín Cruz: ‘I Don’t See People Dying’ (VIDEO),fake
 NRA Terrorist Organization Remains Silent After Worst Mass Shooting In American History,fake
 Overnight Las Vegas Attack Is Deadliest Mass Shooting In American History (DETAILS),fake
 Trump Just Dedicated A F**king GOLF TROPHY To People Who Are Suffering In Puerto Rico,fake
" 49ers Defy Trump, Kneel During Anthem In Solidarity With Colin Kaepernick (VIDEO)",fake
 Tea Party Superstar Gets WRECKED After Obama ‘N****r’ Tweet,fake
 WATCH: Kamala Harris Takes Trump To The Black Church In SCATHING Takedown Of His Attacks On Black Athletes,fake
" NBA Kowtows To Racists, Orders Players To Stand For Anthem",fake
 Rep. Joe Kennedy Torches GOP Congress For Screwing Over Low-Income Kids,fake
 Trump Ally Curt Schilling Blasts ‘Horrifying’ Recovery Efforts In Puerto Rico (VIDEO),fake
" Trump Lashes Out At Puerto Ricans, Calls Them ‘Ingrates’ In Self-Congratulatory Tweets",fake
 Trump Tries Shaming NFL With Video Of Hockey Fans Standing For Anthem And Humiliates Himself,fake
 Donald Trump Congratulates Himself On Winning Election And Asks For Donations While Puerto Ricans BEG For Help,fake
" Trump Supporter Tries To Burn Steelers Flag, Hilariously Can’t Figure Out Fire (VIDEO)",fake
 Obama’s Head Of Disaster Relief TRASHES Trump’s Response To Puerto Rico (TWEET),fake
" While Americans In Puerto Rico Are Dying, Trump Is Golfing And Tweeting",fake
 Trump Throws A Hissy Fit At His Golf Course As Criticism Over Puerto Rico Response Grows,fake
 Neo-Nazi Website Loses Its Domain AGAIN And Its Nazi Owner Is Losing His Damn Mind,fake
" Trump Is Too Incompetent To Handle Disaster On An Island, But Obama Handled One Just Fine",fake
 Trump’s HHS Secretary Stole Over $1 Million From Taxpayers And Now He’s Unemployed,fake
 GOP Senator Just Smacked Down The Most Punchable Alt-Right Nazi On The Internet,fake
 Trump Once Laughed About Being More Worried About A Marble Floor Than A ‘Dying’ Man,fake
 New Mexico Is Erasing Actual Science From Their Science Standards,fake
" WATCH: Adviser Who Wrote Trump’s Tax Plan Says You Will Be Able To Buy A NEW Car For $1,000",fake
 High Schools Start Caving To Trump – Will Punish Athletes Who Won’t Stand For National Anthem,fake
" Trump’s Press Secretary Falls Apart, Exposes His Lie About Obamacare Vote (VIDEO)",fake
 Wounded Veteran CONDEMNS Trump For Using Him As Prop To Attack NFL Players,fake
 BREAKING: Jared Kushner Is Really A Woman And There Are Documents To Prove It,fake
 WATCH: War Veteran John McCain DESTROYS Draft-Dodger Trump’s Anthem Protest Whining,fake
 Trump Is So Embarrassed His Candidate Lost He’s Deleting Tweets And Praying You’ll Forget,fake
 Trump Is So Bad Hillary Is Telling Him How To Be President And He’s Doing What She Says,fake
" The Worst Possible Person Just Won Alabama’s Runoff For U.S. Senate, And It’s All Trump’s Fault",fake
 Loser Trump Fails Miserably Again As ‘Monday Night Football’ Ratings Soar,fake
 Trump Will Be Furious Because The IRS Is Sharing Info With Special Counsel Mueller,fake
 One Republican Senator Is So Fed Up With Trump He’s Retiring In 2018,fake
 Four Star General Blisters Trump Over NFL Anthem-Tantrums: ‘Put Me Down With Kaepernick’,fake
" Trumpcare Is Officially Dead, Senator Collins Confirms She’s Voting No",fake
 ‘We Know Where You Live’: Trump-Loving Terrorist Threatens All Who Attack ‘The White Race’ (VIDEO),fake
" The Only Pittsburgh Steeler To Stand For National Anthem Speaks Out, And Trump Fans Will HATE It",fake
 Democrat Takes Trump To The Woodshed In Fiery Speech Defending NFL (VIDEO),fake
 Fox News Just Proved Trump Is Using Fake Video To Try To Start War With Iran,fake
 WATCH: GOP Senator Yawns As Disabled Healthcare Protesters Are Being Dragged Away By Cops,fake
