title,salary_range,description,requirements,benefits,has_company_logo,fraudulent
Customer Service Associate ,," The Customer Service Associate will be based in San Francisco, CA. The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities:Perform various Mail Center activities (sorting, metering, folding, inserting, delivery, pickup, etc.)Lift heavy boxes, files or paper when neededMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesAdhere to all safety proceduresTake direction from supervisor or site managerMaintain all logs and reporting documentation; attention to detailParticipate in cross-training and perform other duties as assigned (Filing, outgoing shipments, etc)Operating mailing, copy or scanning equipmentShipping &amp; ReceivingHandle time-sensitive material like confidential, urgent packagesPerform other tasks as assignedScanning incoming mail to recipientsPerform file purges and pullsCreate files and ship filesProvide backfill when neededEnter information daily into spreadsheetsIdentify charges and match them to billingSort and deliver mail, small packages","Minimum Requirements:Minimum of 6 months customer service related experience requiredHigh school diploma or equivalent (GED) requiredPreferred Qualifications:Keyboarding and windows environment PC skills required (Word, Excel and PowerPoint preferred)Experience running mail posting equipment a plusExcellent communication skills both verbal and writtenLifting up to 40 lbs with or without accommodationsWillingness and availability to work additional hours if assignedWillingness to submit to a pre-employment drug screening and criminal background checkAbility to effectively work individually or in a team environmentCompetency in performing multiple functional tasksAbility to meet employer's attendance policy",,1,0
FT & PT Prep/Cook,,"Essential Functions1. Tray set-up according to procedure (customized to each resident)2.  Wrap silverware3.  Assists the dietary cook in the preparation of meals4.  Cleans dishes and maintains a clean kitchen workspace5.  Reporting to work when scheduled, on time, with exceptional personal hygiene6.  Superior attendance is required7.   Follow all food safety rules8.   Follow all Physical Safety rules9.  Taking part in monthly and yearly training as required by the company10. Treat fellow associates and residents with respect and kindness11. Other duties as assignedCompetencies1.    Customer/Client/Resident Focus2.    Flexibility3.    Time Management4.    Communication Proficiency5.    Stress Management/ComposureSupervisory ResponsibilityThis position has no supervisory responsibilities.Work EnvironmentThis job operates in a residential setting.  This role requires regular walking to various locations around the facility.Physical DemandsWhile performing the duties of this job, the employee is regularly required to talk and hear. This position is very active and requires standing, walking, bending, kneeling, and stooping all day. The employee must frequently lift and/or move items over 20 pounds.Position Type and Expected Hours of WorkThis is a part/full time position in a residential care facility which is open 24 hours a day, 365 days a year.  Holiday and work during inclement weather will be required. TravelNo travel is expected for this position","Required Education &amp; Experience1.    High School Diploma or equivalentPreferred Education &amp; Experience1.    Previous experience as a Dietary AssistantOther Competencies (skills, abilities, behavior)Ability to understand and follow both written and oral instructions.  Adaptability to perform routine, repetitive tasks within a specific period of time.  Prioritizes work assignments to be completed within time requirements.Cleanliness in person and habits, initiative, dependable, ability to work efficiently and harmoniously with others.  Must demonstrate a positive and caring attitude toward residents and staff.  Must remain flexible and adaptable in order to meet department needs.Background Check and Drug ScreeningIt is the policy of Lafayette Habilitation Center to provide and ensure a safe and secure environment for all members of the facility and its property. As part of this mandate, background checks and drug screening will be required of prospective employees who may or may not have already received a bona fide offer of employment. ",Direct depositOn site in-service training to develop knowledge and skills401(k) eligibilityPhenomenal health insurance with affordable premiumsCompetitive wage,1,0
Lawn and Maintenance Contractors ,,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior," **NOTE: You must have the necessary tools for perform any of the above tasks**SUBJECT TO PASS A BACKGROUND CHECK** If you know how to perform WINTERIZATION in property is a plus. You must have a Digital Camera with to take photographs supporting work done. We also require the use of email. This work is time sensitive, so a strong work ethic is preferred. **NOTE: Please be sure to include your full name, the City where you are located at and phone number and email in order to be considered for the position.  If your name, phone #, and email are not in the response, your response will be deleted.  Thanks and we look forward to hearing from you!",As per job,0,1
Visual Designer,,"Namely is an agile startup dedicated to building an end-to-end Human Capital Management platform for businesses of all sizes – some of the world’s most innovative and exciting companies from many industries use Namely for HR Management. Our users are varied (HR administrators, managers, and average employees), and our clients each have their own culture and policies.As a Visual Designer you will be part of both the Namely marketing and design teams, a set of highly motivated individuals paving the path to growth by combining great marketing and design to generate demand.  You will thrive at Namely if you are …A Voracious Learner - You are always consuming all types of information with a desire to push yourself to learn more.Versatile – Visual design is your core competency, but your belt has a number of other tools you can contribute.  Someone Who Aims High - You get excited by pursuing audacious goals and being the best in your competitive space.","Goals You Will Own:Design beautiful content that enhances Namely’s brand and delivers a wonderful experience for prospects – across content types including ads, whitepapers, eBooks, infographics, Slide Share, blogs, emails, and Calls to Action (CTAs)Transform the Namely website into the content hub for the HR space, leading visitors to trust and engage Namely more oftenExperience/Skills Desired:A couple years of professional experience (full time or internships) in visual designA strong portfolio containing marketing or advertising examplesAbility to conceive effective marketing campaignsEffective collaboration with design, marketing, and engineeringAbility to develop and work with brandingWorking knowledge of HTML/CSSInterest in design for content marketing in categories such as productivity, the future of the workplace, employee engagement, technology, etc (Bonus) Experience working on B2B SaaS content(Bonus) Experience working with Squarespace or Hubspot platforms(Bonus) Illustration, animation, or video productionPlease send website or portfolio for consideration",,1,0
Ux desgin,,Best UX job in the world,Axureillustrator,"10,000$",0,1
 Sr. Process Engineer,,"The Production Department is responsible for the production of sterile injectable mixtures, inhaled products (MDI, pMDI, DPI, and nasal), and other formulations compatible/accessible with the production equipment available at the Client’s Morrisville site.  This includes maintenance, setup, operation, changeover, and routine maintenance of automated and manual production equipment.  The Production Department executes, completes, and reviews all associated master batch record documentation; creates and reviews standard operating procedures; creates manufacturing metrics documentation and assists with process development and validation studies.The position is a manufacturing core team leader supporting the commercial manufacturing process and equipment expansion, as well as ongoing operations.   This position will be responsible for all technical and operational elements of the new commercial inhalation manufacturing process including:   process engineering and troubleshooting, process and product improvement, equipment selection and usage, capacity utilization improvement, lean process design, ensuring delivery to customer specifications and timelines, and customer, supplier and communications.   This technical leadership role will work to deliver customer satisfaction and, with the cross functional core team, will deliver the product on time, with high quality, and at the correct cost.  This position works closely with all site organizations and with the customer. ","III.  Specific Duties, Activities, and Responsibilities    1.Utilize Six Sigma and Lean to integrate new products into the #URL_00b313472b1dbc555b53b09bbbb9a17586c439aa6221bea0083a8051328c70af# activities and project deliverables across operations and #URL_3d5ffea8b80e04b18d46576a7e1a73492b4049108815e69e1353f2d993f6fc24#.Develop and drive production processes to meet customer #URL_860ff9c461988685b2bca88d05f5654d55a5e8f6142abf7674b00c2c51921a39#.Assemble, facilitate and participate in cross functional #URL_292226f934a2786220c9e0f172399f5fe5bd5dfe9516390206ce5f41ae843dc4#.Process troubleshooting and #URL_e27faff18b1e9d11b5f67ad1a2447b962faf17fc57f07a6bd3e0ea09caba9cfe# critical dependencies and risks; develop risk mitigation #URL_847764da9202d8b7368a1ef77ea0a031ea7bb340ba7f55030b59066b32c0e289# EH&amp;S in all design and process #URL_d00b7d42e37df402c74e8d7ae7997a6a9880754448ffaf318d1fd23e8c18ad67# and implement project performance tracking and reporting tools9. Define critical process parameters, operational ranges and acceptance for quality assurance and process validation #URL_486d0cb62c512e5b1b0584a51c7e36e8e3086453060d0d58f37b0c5e6689bf41# and coordinate activities of manufacturing personnel to ensure projects progress is on schedule and within #URL_bdf1faf8665248938b3a3660ed089b74f59e5abc51ea37a9b805a60dc14c3422# group is compliant w/ all regulatory #URL_ee60403e74001e9c2472732c4fbbfbefe7de83034a834617f088162362c53d62# and resolve technical and/or program #URL_e3bf066ab57c5935885cb5659a1bea28b40dc28e37e1ebe9f7f2f7aba6cefcc4# effectiveness of the Quality System, be prepared for internal, external and customer audits at all #URL_3693cb2067e627a35f7d64f3e1c7249e06c9577a47f913362953817b6520d541# performance and development of team #URL_9fb541e573af32ad59748bd9499933e59fcd4451860afb458a67baa0715590ad# other duties as assigned.    Education and Experience:   Bachelor of Science in Science/Operations Management/Engineering or relevant discipline required with 10 years experience in pharmaceutical operations.Leadership experience with production employees.Experience with inhalation (MDI/DPI) manufacturing a plus.Program management expertiseKnowledge of change control and process validation is required.Experience with inhalation manufacturing technology, processes and packaging.Experience working in a cGMP controlled environment.Excellent communication and documentation skills.Six Sigma / Lean Manufacturing / Professional Project Management skills a plus.Ability to assess risks (program, technical, sterility) and take appropriate corrective actions.  Technical customer interaction Knowledge, Skills and Abilities:   Ability to handle multiple tasks and work in a highly matrixed environmentStrong problem solving and analytical skills in a process / manufacturing-based environmentUnderstanding of statistical process control and improvement methodologies.High level of attention to detail and excellent documentation skills.Ability to work on a cross functional team to achieve a common objective.Strong communication skills; both written and oral.Motivational skills, ability to lead past obstacles and creatively solve problems.A full complement of business computer literacy skills (e.g., word processing, spreadsheets, database software etc.) is preferred.Must possess appropriate broad communication skills allowing direct interaction with production employees, outside suppliers, internal stakeholders, and customers.Should be familiar with cGMP or be able to quickly learn and apply cGMP principals and must be able to design safe work practices.Demonstrate a willingness to share skills and information with others.Blend knowledge and analysis with logic, active listening, and a continuing interest in simplification.  Act ethically.Demonstrate a bias toward action.  Get things done.  Be willing to take a position, and assert influence to drive improvement.  Foster teamwork to get results.Demonstrated ability to read, write, and speak clear English.#URL_7e94b9dc45c2319c1dffe1d1646563b8cf079c66d210b9bb860f4f51783ffb03# ",,1,1
Clerical Assistant,10000.0,The Clerical Assistant will be responsible for accurately and efficiently process data into company systems. A high degree of accuracy and attention to detail. We are looking for exceptional team players and leaders to join our team. We are looking for candidates that thrive in a fast-pace and demanding work environment.We Offer:- Competitive compensation- Growth potential- A fun &amp; casual work environment- Great benefit package,"Who we're Looking For:- Motivated, detail oriented and thorough- Must have experience with data entry and customer service- Some college or equivalent experience is preferred- Someone who takes pride in their work with aspiration to contribute and thrive",This is a full-time salary position that offers benefits with GREAT potential for GROWTH. ,0,1
(Internship) Communication / E-Marketing Assistant,,"Born in 2013, #URL_1126a42ca4e3346cc3e1a08fbb8e4c3f867169c63a14fc3710ba1f37c6c0e928# is an online platform dedicated to nightlife activities. The website gathers worldwide events and give the possibility to the users to choose simply and quickly the right party for them.  Alongside it’s also a young and growing startup that offers services to Event professionals and advertisers. For its #URL_1126a42ca4e3346cc3e1a08fbb8e4c3f867169c63a14fc3710ba1f37c6c0e928# platform, the Agilis company is looking for a COMMUNICATION AND WEB MARKETING INTERN to join his young, dynamic and growing team.Interested so far?Here are more details,In our Brussels (Ixelles) office, you’ll take part in the day to day management of the website. You will also help with the communication and social media strategy.We’d like you to start immediately, for a two-month period minimum. Depending on your experience and the internship conditions, a remuneration is possible. You could also get the chance to evolve within the company.","Wanna join our team? Let's see if you meet our requirements:First, we’d like our future intern to have strong interest in the internet and/or the sector of events entertainment .Also, to be a member of our team, a basic knowledge of English is essential; if you speak Dutch/Spanish/German/Portuguese/Russian/Romanian/Polish/Indonesian/Italian/Thai, it would be a real asset.Finally, these last qualities and abilities are desirable:Independence and sense of initiativeProject ManagementCreativityEditorial skillsWanna give a try? To apply and get to live a (very) unique experience, link a video of yourself in the application form. Be creative, you have only 30 seconds!See you soon!",,1,0
Developer and Technical Operations,,"Key words for now:Big Data, data scienceOpen Source, Apache SparkEarly-stage, Great backingChance to help build a company that will make an impact","Dev and/or tech ops experienceDistributed systems, HadoopPublic Cloud provisioning and administrationJava support (Scala or other high-level JVM language = bonus)Superior communication skills (written and verbal)","Competitive salary and benefitsSmall company - influence it's direction, take ownershipGreat colleagues",0,0
Director of Patient Care Services,,"HealthCare California is Central Valley’s primer home health agency servicing the valley for 10 years and continuing.  We are seeking a Director of Patient Care Services to lead our clinical team in patient excellence and quality home health care. The Director of Patient Care Services is responsible for the clinical practice of all clinicians which includes directing all services provided by the HealthCare California.  As a member of senior management, this position ensures the development, implementation and evaluation of policies, programs and services consistent with the agency’s goals and objectives, and actively participates in a leadership role by consulting with management in designing and providing total patient care and services. ","Graduate of an accredited nursing program with a current license as a Registered Nurse in the state(s) of practice.Baccalaureate Degree preferred or equivalent experience, or related field.Minimum of  four (4) years in Home Health with a minimum of one (1) year management experience.Demonstrated ability to supervise and direct clinical and administrative personnel.Knowledge of business management and Medicare regulations.Excellent written and verbal communication skills and strong interpersonal skills including the ability to market and relate tactfully with customers and other members of the community.Must be licensed driver with automobile that is insured in accordance with state and/or Agency requirements.",,1,0
Optical Sales,,"Optometric practice is seeking a full-time Optical Sales for our Plainview, New York location. To apply for this position, please submit your application via this link: #URL_dc6a4e8df8c88cf7bb611c27fadf835b2ea6d40cec837463b39bb6ba9bca8852#?i=MTkz and select the Optical Sales (Plainview, New York) position from the Job Opening drop-down menu.","Responsibilities include educating and assisting patients in selecting their glasses frames and lenses, taking patient glasses related measurements, presenting and dispensing glasses, adjusting and repairing glasses, maintaining glasses inventory, and communicating with doctors, staff, and patients.","We offer a team-oriented work environment and competitive compensation package, with benefits including: medical, paid training, paid holidays, paid time off, and 401(k). ",0,1
"Coating Specialist (Phoenix, AZ)",,"Position available is located in our Phoenix, AZ location.Responsible to assist and supply customers with the finest cabinet coatings available in a safe and timely manner ensuring the reputation of being the First Choice in Quality and Service.","Essential Job FunctionsResponsible to know and comply with all Company policies and procedures including safety and fleet safety policies and proceduresTo evaluate and formulate custom stains and pigmented coating systemsProvide support and technical application solutions and resolve issuesWaste management and disposal processProvide support to Outside Sales RepsProvide bulk product processingProcess inter-Branch transfer of productsOperate a forkliftShippingReceivingAssist on the Will-Call counter as neededPicking, packing and pulling ordersCycle countingStorage of flammable coatings and hazardous materialsEquipment and container repairAssist with loading and unloading trucksPerform housekeeping duties within your work area maintaining a clean and safe working environment Non-Essential Job FunctionsMust assist others and perform additional tasks as directed by the Operations Manager. Skills/QualificationsBe familiar with basic warehouse and distribution processesKnowledge of UPS shipping systems and Rate Postage machine, calculatorMust have the ability to safety operate a forklift and other related equipmentBe familiar with warehouse equipment and machineryKnowledge of shipping, receiving, cycle counting and inventory managementPrioritization, Organization, and Execution — ability to multi-task in. a stressful, fast paced working environmentAttention to DetailKnowledge of spray guns and mixing equipmentKnowledge of CalOSHA and OSHA hazardous materials regulationsMust have the ability to interpret and follow through on directions given by the Operations Manager. QualificationsTo perform this job successfully, an individual must be able to perform each essential job function satisfactorily. The requirements listed in this job description are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with qualified disabilities to perform the essential functions of the job. RequirementsHigh School or GEDBasic computer skillsA complete of knowledge of hazardous materials regulationsAbility to be certified as a forklift operator1-3 years of warehouse experience working with paints and coatings within a distribution environment. Physical DemandsRequires the ability to walk, stand, carry materials, stoop, kneel, bend at the waist, reach overhead and climb ladders and/or on and off of equipmentExposure to moving mechanical parts, machinery, fumes, airborne particles, dirt, dust and chemical fumesMay require sitting and/or standing for long periods of timeWill be required to lift up to 50 lbs on a regular basis Working EnvironmentAll work is performed within a manufacturing and warehouse environment;Exposure to moving mechanical parts, machinery, fumes, airborne particles, dirt, dust and chemical fumes;The noise level in the work environment is usually moderate to loud and may require hearing protection.Safety shoes, back support and eye protection are also required.Temperature environment range is approximately 30°F to 110°F. SummaryThis position description identifies the key responsibilities, expectations of performance, qualifications and work environment as outlined in the contents.  It is neither intended nor possible to list all tasks and variables the employee may be required to perform or conditions the employee may be subject to.  Employees are expected to follow any and all job related duties and responsibilities, as may be reasonable assigned by management.As an Equal Opportunity Employer, E.B. Bradley, Co. is committed to a diverse workforce.",,1,0
Backend Engineer,,"We are an ambitious and well funded startup looking for top engineering talent to make connecting software services a breeze. Many software services we use every day are distinctly separate and difficult to use together - we intend to fix that.You will:Build reliable software that allows people to store and run integrations at scaleWork with web API's to connect software servicesAutomate the testing and deployment of your workEnvision new features that help people connect services faster and easierYou have:Strong programming skills and Computer Science fundamentalsAn irrational passion for building networked softwareThe desire to learn, improve and work togetherWe currently use:Scala, Java, Go(lang), JavaScript, RubyNetty, Play Framework, SubvertDocker, Redis, MongoDB, ElasticSearchAmazon Web Services, Digital OceanLinux","Clothes (When in the office, optional when working from home)Sense of humour","Working for #URL_54f4873a1402ed8d91fad7485755b50cfc1f7cc4b155e855d38211884cedf924# offers many perks, but, the key thing is that we are a talented team with a passion for the product we are buildingCompetitive salaryStock optionsUnrestricted holiday policy &amp; work from home daysTop of the range equipment budgetBeer fridge &amp; stocked kitchenSocial events (Team breakfasts/lunches, evenings out &amp; trips)Private healthcare50% off Virgin Active",1,0
Carpenter-Cabinet Maker,,"Long Island city based Exhibit Design/Fabrication Company is seeking an Experienced Carpenter-Cabinet Maker to perform both skilled carpentry and cabinetmaking work in constructing, laminating, altering and repairing all types of wooden articles. Also building /assembling structures including Acrylics and a wide variety of high grade custom wooden/plywood displays. This is a full time position primarily requires involvement, performing, managing and or supervising the construction and installations.-        Bilingual English/Spanish  ( not required)-        Background in Trade Show Exhibits is an extreme Plus.-        Detail oriented-        Ability to read Drawings    -        Reliable                                                                                                                                                     -        Must be willing to work late hours (when needed).",-        Background in Trade Show Exhibits is an extreme Plus.-        Detail oriented-        Ability to read Drawings    -        Reliable                                                                                                                                                     -        Must be willing to work late hours (when needed)-        Bilingual English/Spanish  ( not required),#NAME?,0,0
Payroll Data Coordinator Positions - Earn $100-$200 Daily ,,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you","RequirementsAll you need is access to the Internet and you can participate. Computer with Internet access, valid email address, good typing skills   ","This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWIf you fit the above description and meet the requirements, please apply stating your locationApply at: #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#",0,1
Mirfield Warehousing Apprenticeship Under NAS 16-18 Year Olds Only ,, Government funding is only available for 16-18 year olds only.Perfect role for school leavers.This is a fantastic opportunity for those looking to start their career in Warehousing. During the first 12 months you will work towards a Level 2 Warehousing NVQ and then be kept on in a permanent position.You will be working for a silicone hoses manufacturing company and the role will involve:-Picking and packing-Despatching orders-Taking calls from internal staff and customersIdeal candidates will be able to work in a team and will have good timekeeping skills.If you are motivated and career minded please apply now.,16-18 year olds only due to government funding.Full time availability.,Career prospects.,1,0
Home Based Payroll Typist/Data Entry Clerks Positions Available,,"We have several openings available in this area earning $1000.00-$2500.00 per week. We are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes.The preferred applicants should be at least 18 years old with Internet access. No experience is needed. However the following skills are desirable:  ","Basic computer and typing skills, ability to spell and print neatly, ability to follow directions.",All you need is access to the Internet and you can participate. This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can from the comfort of your home typing and doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWApply at: #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#,0,1
Senior QA Engineer ,,"Responsibilities:* Acquire and maintain a comprehensive expertise in all company components   Platform, test automation, and monitoring systems currently being used.* Works closely with Development engineers and other Quality Assurance team members to   identify, report, and troubleshoot defects to verify problem fixes in a detailed, efficient, and   timely manner.* Ensure that new and existing product functionality are reliable, defect free and function as   intended.* Strong analytical and problem solving skills, an ability to multitask, and work in a fast-paced   environment with changing priorities.* Work with QA managers and Director to develop and execute QA strategies to meet   department and corporate's goals.* Gather and provide metrics for automation and product readiness.* Analyze gaps in #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#’s immune system (automated test suite) coverage.","Required Skills and Experience:Minimum of five years of experience in software quality assurance, or related field, including   individual contributor experience. Programming aptitude; able to read and understand code, write automation test cases. Working knowledge of software development and QA methodologies. Excellent communication skills. Experience in designing, implementing, and managing automated test suites.","What Is OfferedOur client's core values drive their culture. This is what they believe and we support: Watch the culture video to learn more.MAKE CUSTOMERS SUCCESSFUL ""Customers' success is ours. We live to solve their problems, improve their futures, and exceed their expectations. When our customers win, we win.""SET THE BAR HIGH. ""We're trying to revolutionize an industry, so we can't be just good—we have to be the best. That means striving for the best team, product, and company on the planet.""BE ACCOUNTABLE. ""We own our work. We keep our promises. And we always follow through. We take responsibility for failures, and humble bows for successes. There's no time for excuses and finger pointing.""SHOW INTEGRITY. ""Forget loopholes, back doors, and shades of gray. We just say it. We are honest and straightforward with everyone. The only way we can bring clarity to a chaotic world is to walk-the-walk ourselves.""MAKE EACH OTHER BETTER. ""Everything we achieve, we achieve together. Nobody is too important to grab a broom.""ALWAYS MOVE FORWARD. ""We see the world as it could be, not just as it is. With our passion for finding new solutions to old problems, we're creating that new world. It's a future worth adapting to.""The Benefits Generous paid time off to help you maintain a good work-life balanceFully catered lunches available everyday to all employees at the corporate officeOffices fully stocked with snacks and refreshments to keep you energized and productiveExtensive employee benefits and perks to show how much we value your effortsFun team events, company events, employee sponsored events, employee recognition awards, and more!We are currently under contract with our client in attracting, engaging and initiating the hiring process. We are working directly with the hirng manager for this role and welcome the opportunity to discuss your candidacy with you.  Thank you for your time and consideration.  We look forward to hearing from you.  Please direct resumes, questions and inqueries to Darren Lawson | VP of Recruiting | #EMAIL_f4da338e899ddba983ac771b001681d1d2d93b3327ddc420a15f4e5a310071a9# | #PHONE_90d33c9d7ec1484aebfe37b153d677decc6f5f53b316489ed24061544c04eb66#",1,1
Office Manager,,"About the CompanyWe are ticketscript - the European market leaders in digital self-ticketing. Whether it’s massive dance events, festivals, gigs, outdoor cinemas, fairs, theater shows, exhibitions, comedy nights, or award ceremonies - we do them all! We believe in empowering our customers. Their success is our success. So far over 50,000 events have worked with us - and this is only the beginning. We have offices in London, Amsterdam, Antwerp, Berlin and Barcelona and are rapidly expanding across Europe.The roleThe office manager organises and supervises all of the administrative activities that facilitate the smooth running of an office. The successful candidate will ensure employees are well served and assist in operating the office effectively. Interactions with all internal and external contacts must be graciously and cordially stewarded. The successful candidate will be based in our central Berlin office.ResponsibilitiesInventory of hardware and movable property with purchase date;Effective control of all incoming and outgoing calls and managing;Opens, sorts and distributes incoming mail and manages what mail should be sent to the account of our head office in Amsterdam;Coordination of conference room(s) schedule and prepare for meetings;Provides visitors and/or management team with refreshments during meetings and lunch when needed;Responsible for drafting routing forms and if necessary a cover letter;Set up new employee work space and train procedures;Organising the office lay out and maintaining supplies of stationery and equipment;Maintaining the condition of the office and arranging for necessary repairs;General project and cost saving exercises;Partner with HR for new hire onboarding coordination;Manage space allocation for new employees.","Your profileThe basics- At least 2 years experience as Office Manager- Preferably within an international tech environmentSkills and competences- Excellent organizational skills- Strong communication skills (German on native level, English strong written and verbal skills)- A great sense of flexibility- Work independently- A service minded attitude- A well organized approach to work- Ability to prioritize and under pressure- A confident, professional and determined approach- Excellent multi-tasker, accurate and highly organised.- A trustworthy, autonomous and enthusiastic hands-on approach to all tasks with a flexible approach to changing priorities.","Our offerA competitive salary within an international and growing technology company that offers you the possibility to deepen your international career. You will join an energetic and results driven team based in Berlin.Job detailsDepartment: OperationsJob type: Full-time (40 hrs)Job location(s): Berlin, GermanyContactIf you are interested in applying for this position please send your CV + motivation to #EMAIL_5ab1502b1b88985f2c9181dea80960eee27ee89b316fb2ba0a0c418ec8b46438# with the subject line “Office Manager’.",1,0
Automation Software Engineer,,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.Responsibilities and tasksManaging the development, implementation, test, and maintenance of software development work.Ensure allocated work scopes are produced within budget and timescale.Monitor allocated work scopes and report current status, estimate to complete and resource requirements to Manager/Lead Engineer.Assist Manager/Lead Engineer with estimates of effort and best technical solutionEnsure all work activities are in accordance with Aker Solutions procedures.Working offshore/overseas as the role requires.Identifying processes and patterns of work areas and recommending procedures to improve standardisation and consistency of approach to Manager/Lead Engineer.Monitoring trends and new products in the marketplace, which could benefit the company, and recommending to Manager/Lead Engineer.In addition to the duties listed, the jobholder is required to perform other duties assigned by his/her Manager/lead Engineer from time to time.","Qualifications &amp; personal attributesB.E. (Instrumentation / E&amp;TC / Electronics, with Automation field experience)Experience with development &amp; programming of PLC and SCADA system (e.g. Rockwell, Siemens, GE Fanuc, Iconics, Wonderware, VTS)Experience with programming languages (C, C++, Assembler)Demonstrable relevant Software Engineering experience preferably within the Oil and Gas industryWill have a sound working knowledge of offshore working techniques and ideally will have had exposure to the offshore working environmentDemonstrable experience in the ability to carry out all elements of Software design within Controls SystemsPreferably Chartered Engineer StatusWe offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.",,1,1
