title,label
"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",REAL
Obama’s speech in Selma was an answer to those who question his love for America,REAL
Where Does Bernie Sanders Go From Here?,REAL
Exclusive: GOP campaigns plot revolt against RNC,REAL
Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,FAKE
Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],FAKE
"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",REAL
French police hunt two brothers accused of Charlie Hebdo terror attack,REAL
"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",FAKE
CNN: One voter can make a difference by voting repeatedly,FAKE
Give Social Security recipients a CEO-style raise,REAL
"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",REAL
"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",REAL
How Ted Cruz Became Ted Cruz,REAL
Newly Approved GM Potatoes Have Potential to Silence Human Genes,FAKE
Accord reached after Sanders sues the DNC over suspended access to critical voter list,REAL
Why the latest Patriot Act reform won’t be enough to rein in the NSA,REAL
"FBI expands probe of Clinton emails, launches independent classification review",REAL
Where is Gary Johnson?,REAL
"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",FAKE
Nuclear weapons question,FAKE
Kevin MacDonald celebrates Trump’s Amazing Victory,FAKE
"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",FAKE
What happens if Clinton drops out?,REAL
Brothers ID'd as suicide bombers in Belgium,REAL
Glorifying Violence,FAKE
Russia may run out of patience and respond to USA's rudeness,FAKE
The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,FAKE
Don't blame all immigrants for San Francisco shooting,REAL
Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,REAL
APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,FAKE
"Geo-Engineering Unlikely to Work, Conservation Group Says",FAKE
3 Questions Ahead Of Tonight's Democratic Debate,REAL
Obama's terror strategy is failing: US must heed lessons of 9/11,REAL
“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,FAKE
Selma 50 years on: John Lewis's recalls the march,REAL
“We Were Long Overdue A Presidential Assassination Anyway”,FAKE
"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",FAKE
Third-party presidential candidates fight for 15% in polls – and a spot in debates,REAL
"Bush, Rubio and Kasich eye one another in the shadow of Trump",REAL
Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,FAKE
"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US",FAKE
Monsieur Malbrough est Mort | New Eastern Outlook,FAKE
Conspiracy theories swirl around the death of Antonin Scalia,REAL
"What is one more election thread, ehhh?",FAKE
McCain: Trump doesn't understand Syria,REAL
Trump manager says 'undercover voters' will deliver win in US election,REAL
Re: WikiLeaks: ‘How is what Bill Clinton did different from what Bill Cosby did?’ #PodestaEmails20,FAKE
"REPORT: Megyn Trashes Trump, Newt… Then Murdoch Announces Replacements Are Available",FAKE
Suspect captured in ‘ambush-style’ killings of two Iowa cops,FAKE
Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy,FAKE
The next president can have a big impact on climate policy — even without Congress,REAL
Look at the SHOCKING Number of Kids Born To Illegals in 2014,FAKE
Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters,FAKE
Justice Department Staffers Monitor Polls on Election Day,REAL
Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks,FAKE
Poll: 71 percent of Dems think Clinton should keep running even if indicted,REAL
Trumped!,FAKE
Is the Iran deal unraveling? Think again. | Institution,REAL
Saturn’s Baffling Hexagon — The Raging Storm Four Times the Size of Earth has Changed Its Colors,FAKE
"Cyrus Mistry renames himself Rohit Sharma-Mistry, gets job back",FAKE
The FBI intervenes in the 2016 election,FAKE
"Re: If Donald Trump Wins, He Will Be 70 Years, 7 Months And 7 Days Old On His First Full Day In Office",FAKE
Shutdown clash to return in force by December,REAL
Classless Obama Refuses Photo-Op of White House Welcome with Trump,FAKE
Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg,FAKE
Stuff in the News That No One Is Talking About Because of the Election,FAKE
Blizzard of charges and countercharges melts away as opinions of Trump and Clinton are frozen,REAL
Social Media Is Censoring FBI’s Re-Opened Clinton Email Investigation,FAKE
Obama Inches Closer to Veto-Proof Support for Iran Nuclear Deal,REAL
How Clinton plans to stop Sanders' momentum,REAL
Martin O’Malley Praises Senate Democrats for Holding Up Trade Deal,REAL
Shi’ite Militias Join Iraq’s Mosul Attack,FAKE
‘Super PAC’ Gets Early Start on Pushing for a 2016 Clinton Campaign,REAL
Christianity under attack: US must do more to promote religious freedom,REAL
U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them,FAKE
VIDEO: Journalist Shot by Militarized Police at Standing Rock While Conducting an Interview,FAKE
"Buffett: If I Ran Fed, I Would Not Raise Rates Significantly",REAL
Are Tensions With Russia Even Real?,FAKE
Iran agrees to nuclear restrictions in framework deal with world powers,REAL
Comment on This Is What Constipation Does To Your Body by THIS IS WHAT CONSTIPATION DOES TO YOUR BODY | TheHealthology,FAKE
Fifteen Quotes Proving False Flag Terrorism & the Existence of a ‘Shadow Government’,FAKE
"Bernie Sanders’s vast universe of donors, mapped",REAL
"Former Ambassador Andrew Young calls for end to water fluoridation, “Civil Rights Issue”",FAKE
Trump's New Ad Portraying 'Every Mother's Worst Nightmare' is Nothing Short of Chilling,FAKE
Undercover Video Exposes Obama’s Plan to Make American “Gun Laws” More Like Britain – TruthFeed,FAKE
So That Happened: Did Obama Forget That The GOP Runs Congress?,REAL
"Syrian War Report – November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo",FAKE
Should Christians Celebrate Halloween?,FAKE
Sunday in Charleston: Worship at Emanuel AME,REAL
Only Making Matters Worse in Syria,FAKE
"FACT CHECK: Hillary Clinton's Speech To The Democratic Convention, Annotated",REAL
BUSTED: Clinton Foundation Directly Tied To Plot To Steal Election,FAKE
Connecticut Becomes First State To Boycott Indiana Over LGBT Discrimination Law,REAL
Scott Walker Confronts Doubts About His Grasp of Foreign Policy,REAL
Iran carries out new ballistic missile test,REAL
Assange: Donald Trump Won’t Be Allowed to Win – Clinton & ISIS Funded by Same Interests,FAKE
Why Joe Biden can't get no respect,REAL
"Come on, Paul Ryan must be running in 2016, right? Right?",REAL
Why Bernie Sanders needs to start winning big states — big,REAL
Leaked: What’s in Obama’s trade deal,REAL
"Michael Moore admits no women ever melted the ice caps, bombs American history",FAKE
Someone Isn't Telling The Truth About Freddie Gray's Death,REAL
Prison employee pleaded not guilty to aiding escape of two murderers,REAL
Culchie Tries To Explain Rules Of 25 One More Time,FAKE
Election Day: No Legal Pot In Ohio; Democrats Lose In The South,REAL
President Trump: A colossal failure for democracy and our terrifying new reality,REAL
Who had to go :-),FAKE
Raqqa/Mosul: Politicians Fiddle As Middle East Burns,FAKE
Chris Christie losing home-state donors as Jeb Bush makes inroads,REAL
Washington Home Depot store receives order for five-thousand gallons of gold exterior paint,FAKE
Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information,FAKE
Can Sanders rally supporters around Clinton after DNC email leak?,REAL
'Historic' climate deal in sight as nations parse final text,REAL
We Live In A Time Where Each Individual Has Immense Power,FAKE
"Trump slams 'corrupt' media, as more women make sexual assault claims",REAL
Only Demented Imbeciles Want A Killary Reign Of Terror,FAKE
This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion,FAKE
Americans Are So Disconnected From Reality That “Insouciant” Has Become An Euphemism,FAKE
The 5 unspoken rules for covering Hillary Clinton,REAL
"Hillary Melts Down Over Weiner In Public, PICS Prove Campaign Is Imploding",FAKE
Clinton Vs. Trump: Latest Electoral Prediction [Greg Laden's Blog] | Science and Technology,FAKE
Jubilee Year of Mercy ends on November 20. Following Judgment?,FAKE
Iraq launches operation against ISIS in Anbar province,REAL
UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,FAKE
Justices Kennedy and Scalia and their divide on gay rights,REAL
Justice Clarence Thomas Describes Washington DC As “Broken”,FAKE
"The Week In Pictures – Week Of October 31, 2016 - The Onion - America's Finest News Source",FAKE
Jeb Bush's Foreign Policy Plan: More Military Spending Will 'Encourage Peace',REAL
"John Kasich: He’s Conservative, but at Least He’s Sane",REAL
2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,REAL
Authorities search for clues after raid thwarts potential 'Belgian Charlie Hebdo' attack,REAL
8 classic football banners of our time,FAKE
Tweetwave,FAKE
Trump’s Gettysburg Address against the New World Order,FAKE
Debate Goals for the Democratic Candidates,REAL
'Spinning up as we speak': Email shows Pentagon was ready to roll as Benghazi attack occurred,REAL
A Case Study On Why The Obamacare Lawsuit Is Based On Mythical History,REAL
Trump Proudly Declares: Most Of The People I’ve Insulted Deserved It,FAKE
Dems sue GOP over Trump's 'rigged' complaints,FAKE
US Airstrikes on Iraqi Army Slowing Advance on Mosul,FAKE
Iran letter blowback startles GOP,REAL
"Clinton Camp Desperate, Russia Trains for WWIII",FAKE
Donald Trump's GOP civil war,REAL
Comment on Tainted Measles Vaccine Kills More Than 50 Children In Syria by Tragic Deaths Used To Promote Vaccine Fear – On The Fence About Vaccines,FAKE
Laura Bush hints she'd rather see Hillary as president,REAL
"Scott Walker, Rick Perry show limits of super PACs",REAL
If Catcalls Were Politically Correct…,FAKE
Why Hillary Won't Unleash WWIII    : Information,FAKE
Is It Time To Reconsider Lifetime Appointments To The Supreme Court?,REAL
"Clinton has delegates to win Dem nomination, AP reports; Sanders questions tally",REAL
Hillary IMPLODES: Trump 'Took Everything...Paid Nothing To Support Us!',FAKE
"Trump says Obama born in US, ‘period’ – after new ‘birther’ dust-up",REAL
"MH370: If debris is part of missing plane, what's next?",REAL
GOOGLE PLANNED MASSIVE AI INTEGRATED SOCIAL NETWORK SPY TOOL FOR HILLARY CAMPAIGN IN 2014,FAKE
Israel stole classified US information and used it to help congressional Republicans,REAL
"""America has a simple ideology"": how one of Russia's top US experts explains America",REAL
Poll shows Trump made up 13 points in under 2 weeks — now he likes polls again,REAL
"Chaos on House floor as Dems, Republicans clash over LGBT proposal",REAL
"New Study Links Fluoride Consumption To Hypothyroidism, Weight Gain, And Worse",FAKE
"Clinton, Sanders accuse Trump of inciting violence",REAL
Memo to the Next Administration: Defense Spending Must Be For Actual Defense,FAKE
"In New Responses, Hillary Clinton Insists Email Setup A Matter Of 'Convenience'",REAL
Trump mulls alternative options for making Mexico finance 'the wall',REAL
The circus of liars - America's three rings of evil clowns,FAKE
"Donald Trump said ‘university’ was all about education. Actually, its goal was: ‘Sell, sell, sell!’",REAL
Trump Has Forever Changed American Politics,FAKE
Kerry Adviser Marie Harf in Twitter Fight Over Iran Nukes,REAL
"The role of the US and Nato in EU relations with China, by Manlio Dinucci",FAKE
The Daily 202: Many African Americans unenthusiastically ‘settle’ for Hillary Clinton,REAL
"100,000 people have come to recent Bernie Sanders rallies. How does he do it?",REAL
Trump The President: What Does That Mean For The World? - CounterCurrents.org,FAKE
"'You've been fleeced': Congress grills Kerry, Obama officials on Iran nuke deal",REAL
"What 20,000 pages of hacked WikiLeaks emails teach us about Hillary Clinton",REAL
Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist — New York Malpractice & Injury Lawyer Blog,FAKE
FOX News Just Admitted It Made Up Story About Hillary Being “Indicted” For Foundation,FAKE
Repudiating the Media,FAKE
Buchanan Smashes CNN Shill,FAKE
The Impossible Is Happening: Cubs Win World Series and Yes… Hillary Clinton is Now Likely to be Indicted,FAKE
America After Election 2016: the Gullible and the Shattered - David Kerans,FAKE
Anderson Cooper Absolutely OWNS Kellyanne Conway After FBI Clears Hillary…Again (VIDEO),FAKE
‘Schlonged!’ NYT: FBI reopened Hillary probe thanks to … ANTHONY WEINER?,FAKE
What do Americans really think of election coverage?,REAL
Exclusive: Siege of Islamabad,FAKE
The Fix Is In: NBC Affiliate Accidentally Posts Election Results A Week Early: Hillary Wins Presidency 42% to Trump’s 40%,FAKE
Lynch schools the wingnuts: How the right tried — and failed — to wound Obama’s AG nominee,REAL
"Yes, Ted Cruz could win",REAL
"‘Can’t build a wall, hands too small!’ – NYC anti-Trump protest (Streamed live)",FAKE
Trump advisors try to pivot not fishtail,REAL
"Christians drop, 'nones' soar in new religion portrait",REAL
Comment on Brother of Clinton’s Campaign Chair is an Active Foreign Agent on the Saudi Arabian Payroll by marlene,FAKE
Inside the Deliberations of a Hillary Clinton Campaign Launch,REAL
American Express disowns Pink Floyd singer Roger Waters because of pro-Palestinian views,FAKE
Clinton condemns Trump over Chicago violence,REAL
"In France, a growing debate over why some speech is protected and some isn’t",REAL
President-Elect Donald Trump's First Televised Interview Since He Won the Election     : Information,FAKE
North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times,FAKE
Russia reacts to UN aid chief's Aleppo 'kill zone' remarks,FAKE
Representative Government or Thugocracy?,FAKE
Gay rights and religious liberty: Can Americans have both?,REAL
"As Rand Paul stalls, Ted Cruz seeks to pick up support among libertarians",REAL
“A dream come true for Hillary Clinton”: Wall Street Journal editorial board rips Ted Cruz,REAL
Obama Presses Putin to Strike Ukraine Peace Deal,REAL
"Trumka: Disappointment with Obama, a warning for Hillary",REAL
Pro-Palestinian Propaganda Lowering Standards of Truth in America,FAKE
Wingnuts have a death-grip on Congress: Why Paul Ryan can’t control the House GOP,REAL
Lifting weights could ward off dementia and make you smarter,FAKE
People excited about Christmas adverts told about rest of human culture,FAKE
State Department warns of possible terror attack in South Africa,REAL
Who Lost Iraq?,REAL
Pope Francis implores Congress to accept immigrants as their own,REAL
"Poll: Trump gains in Iowa, still dominates in New Hampshire",REAL
Rand Paul Goes on Senate Floor to Protest NSA Spying Measure,REAL
China Airport Security Robot Gives Electroshocks,FAKE
Obama Details His Disappointment With Netanyahu In First Post-Election Comments,REAL
"Re: WikiLeaks: Neera Tanden has ANOTHER ringing endorsement for Hillary! (No, not really)",FAKE
Reality Check: First Clinton v Trump presidential debate,REAL
Doomsday Election,FAKE
John Kasich’s Advice for Women to Prevent Sexual Assault: Avoid Parties “Where There’s a Lot of Alcohol”,REAL
The system set Boehner up for failure,REAL
Gay marriage victory at Supreme Court triggering backlash,REAL
Who rode it best? Jesse Jackson mounts up to fight pipeline; Leonardo DiCaprio to the rescue?,FAKE
McCarthy drops out of speaker race as House asks: Who wants this job? (+video),REAL
"Democrats, Republicans in tight races as Iowans prepare to caucus",REAL
Iran: Why the best outcome now is to keep negotiating without reaching a deal,REAL
NAZI Flying Saucers & A Permanent Base in Antarctica,FAKE
BREAKING: Man Brags on Facebook of Voting 3 Times… Then Reveals How He Did It,FAKE
Furious parents slam ‘damaging’ BBC sex change show aimed at six-year-olds,FAKE
Trump Family Say Trump Brand Has NOT Been Damaged,FAKE
Rand Paul is flatlining,REAL
Nurse Chris Christie Quarantined For Ebola Goes After Governor On Vaccines,REAL
Can Paul Ryan and Donald Trump coexist within the Republican Party?,REAL
"Cruz copying me on border wall, Trump says",REAL
John Oliver: America’s Increasingly Segregated Schools Are ‘Very Rarely Equal in Any Way’ (Video),FAKE
The Rise of Mandatory Vaccinations Means the End of Medical Freedom,FAKE
Scientists Fascinated By Lake Under The Sea: Those Who Enter Never Come Out [Watch],FAKE
Jeb Bush loses TV ad edge to Marco Rubio,REAL
"Russia, India Discuss FGFA Advanced Fighter, Su-30MKI Upgrade",FAKE
"Our real police/race problem: Diverse forces, white resentment, and America’s persistent divides",REAL
The Supreme Court cannot hide on Obamacare,REAL
BREAKING : TED CRUZ CALLS FOR SPECIAL PROSECUTOR TO INVESTIGATE HILLARY – TruthFeed,FAKE
"Poll: Hillary Clinton, Bernie Sanders both top Trump",REAL
Donald Trump revokes Washington Post press access (+video),REAL
The Real Reason Obamacare is Coming Unglued,FAKE
How Jeb Bush can avoid being the Jon Huntsman of 2016,REAL
Revived Clinton Email Scandal Killed By A Slew Of New Facts In Record Time,FAKE
Iraq’s Skies Darken as Islamic State Torches Oil,FAKE
New Yorkers fight to overturn ballot selfie ban,FAKE
Poll finds Ben Carson knocks Donald Trump from top spot nationally,REAL
“I’m glad that he won”: The surprising Palestinian reaction to Netanyahu’s win,REAL
George W. Bush’s Ethics Lawyer Files Complaint Against FBI Director James Comey,FAKE
Netflix Ceo: TV’s Future includes Hallucination Pills,FAKE
Ernst to Trump: Stop with the name-calling,REAL
Comment on Elections 2012-16 by BeamMeUpScotty,FAKE
After Debate Duke Says USA becoming Banana Republic,FAKE
"NOW FIVE FBI FIELD OFFICES ARE PROBING CLINTON CHARITY, ADDING FUEL TO THE FIRE",FAKE
White House: GOP Has Failed to Put ‘Points on the Board’,REAL
The Daily 202: The presidency is Hillary Clinton’s to lose. Here are 12 ways she could lose it.,REAL
"Do Democrats Want What Bernie Wants, Or Just What Bernie Has?",REAL
Podesta wiki leaks...We prefer Muslims over Christians....,FAKE
Critics Pounce on Madeleine Albright’s Exhortation to Women to Back Clinton,REAL
Clinton doubles down on disputed claim FBI found her email remarks 'truthful',REAL
How the Clintons’ Haiti development plans succeed — and disappoint,REAL
Of Course Facebook Is Biased. Its Real Problem Is That It Won’t Admit It.,REAL
Tax Calculator: The federal debt,REAL
Trump and advisers remain split on how far to move toward the middle,REAL
Clinton in the final stretch: winning over anti-Trump contingent may be best play,REAL
Australian taxpayers charged over $88 million for donation to corrupt Clinton Foundation,FAKE
Vatican Ends Scrutiny Of U.S. Nuns,REAL
How Clinton’s email scandal took root,REAL
Jews ‘blamed for Holocaust’ at House of Lords event,FAKE
The Disappearing Middle: Electorate Way Less Moderate Than Past Primaries,REAL
"Hannity: WikiLeaks Has Proven That ""Everything The Conspiracy Theorists Said"" Was True",REAL
Russia successfully tests its first-ever hypersonic weapon,FAKE
The Hulk Actor Mark Ruffalo Has Joined Standing Rock to Protest DAPL,FAKE
AP FACT CHECK: The Republican debaters and the facts,REAL
Why the drop in income inequality?,REAL
Walmart Goes Against The Grain Of Obama’s America With New Thanksgiving Ad,FAKE
Senate Makes History By Confirming Loretta Lynch As U.S. Attorney General,REAL
Manhunt for escaped killers expands to Vermont,REAL
The Path To Total Dictatorship: America’s “Shadow Government” And Its Silent Coup,FAKE
To the Youth a Day After the Election: Another World Is Possible,FAKE
Physical Gold Demand and Fear,FAKE
Protester charged with shooting officers in Ferguson,REAL
Comment on U.S. war with Iran has already begun by جنگ ارزی آمریکا علیه ایران / مورد مطالعاتی سال 1390 - کدآمایی,FAKE
It’s not the ‘locker-room’ talk. It’s the ‘lock her up’ talk.,REAL
"GOP braces for Trump loss, roiled by refusal to accept election results",REAL
If You Have One Of These Old VHS Tapes It May Be Worth Over $1000,FAKE
Obama: Trump is ‘unfit to serve as president’,REAL
Pope Francis met Kim Davis: why it matters in fight over religious freedom (+video),REAL
Study: Phytochemical Found In Broccoli And Cauliflower Attacks Prostate Cancer Cells,FAKE
David Duke wins Louisiana Senate Debate in Landslide despite BLM Riots,FAKE
Paris Tragedy Could Shake Up 2016 Race,REAL
Hillary Clinton Is Now Radioactive – SoT #122,FAKE
2016's first GOP debate: Six things to look for in Charleston,REAL
Black Hawk crashes off Florida; human remains found,REAL
VIDEO: Creepy Clown Gets Pistol-Whipped!,FAKE
THE VISION THING 16    : Information,FAKE
"Drudge, Koch, Soros, Bezos: These 4 non-politicians will determine the next president",REAL
The Other Way of Knowing,FAKE
Obama and Putin outline competing visions on Syria,REAL
Comment on Police Officer’s Wife Caught Faking a Robbery In a Scheme To Frame Black Lives Matter by The Cat's Vagina (Nasty Woman),FAKE
Is the GOP losing Walmart?,REAL
Supreme Court Decides to Weigh in On Transgender Rights,FAKE
If Hillary Clinton Is Charged With Obstruction Of Justice She Could Go To Prison For 20 Years,FAKE
"'Top secret' emails on Clinton server discussed drone program, may reference classified info",REAL
Miracles Man: Metaxas Vs. Closed Minds And A Closed Universe,REAL
Obamacare Premiums Spike an Average of 25%!,FAKE
Collective Consciousness – The Individual is Gone,FAKE
Obama on gun control: His emotional evolution,REAL
What Scientists Found Inside This 800-Year-Old Pot... Is Changing History!,FAKE
The Clock Is Ticking And Republicans Still Have No Serious Obamacare Alternative,REAL
Trump treads on tradition in New Hampshire,REAL
GOP presidential candidates hammer on 'top secret' Clinton emails in final days before Iowa Caucus,REAL
"Cleveland, Justice Department Reach Policing Deal",REAL
Physicists Say Consciousness Should Be Considered A State of Matter: The “Non Physical” Is Real,FAKE
"A GOP Weekend, Courtesy Of The Koch Network And Citizens United",REAL
"Juan Williams: My bets on Trump, Clinton vice presidential picks",REAL
How Trump And Clinton Are Framing Their Closing Arguments,REAL
Scott Walker and questioning Obama’s faith,REAL
What Is Hillary’s Greatest Accomplishment?,REAL
"Iranians Spend $2.1b on Beauty Products Annually, 3 Times more than Their European Counterparts",FAKE
"Sanders, Trump easily win West Virginia primary; Trump picks up Nebraska too",REAL
"Clinton, Sanders to Face Off in 1st Democrat Debate",REAL
#InNorthDakota ~~ PALESTINIANS STAND WITH THE SIOUX,FAKE
"Human remains suggest explosion brought down EgyptAir plane, forensics official says",REAL
US officials scanning terror databases in search for Paris attack suspects,REAL
"ISIS Declares It Will kill Palestinians “One By One”’, Yet Remains Quiet On Israel",FAKE
"Hillary, The Political Scientist",FAKE
"BOOM! This Is How President Reagan Handled Protesters: ""Negotiate? What is there to negotiate?"" [Video] » 100percentfedUp.com",FAKE
Clinton Picks Up The First Major Labor Endorsement Of 2016,REAL
Links 11/12/16,FAKE
Obama: Syria war unlikely to end during his presidency,REAL
'Blue and Brave': Illinois town rallies around police as search for officer's killer goes on,REAL
Senate Advances Bill To Approve Keystone Pipeline Despite Obama's Veto Threat,REAL
Comment on Indoor Gardening Made Easy: The Nutritower! by Indoor Gardening Made Easy: The Nutritower! – Collective EvolutionGardening Business News UK | Gardening Business News UK,FAKE
US abstains from UN vote calling for end to Cuban embargo,FAKE
